id	type	awardSummonRole	npcId	name	desc	groupId	timeOpen	startDate	endDate	day	frequencyType	frequencyValue	enterResetCopyId	conditionIds	consumeSilver	consumeBindingGold	consumeGold	consumeContribute	consumeFactionMoney	consumeHonor	consumeGoodIds	consumeGoodCount	consumeIntegral	allGoodIds	allGoodCount	allBindType	allGainSilver	allGainBindingGold	allGainExp	allContribute	allMagicSoul
id	召唤类型	奖励模式	npcId	名称	说明	召唤ID	是否由日期决定开启	兑换起始日期	兑换结束日期	兑换每日时间段	兑换次数类型	兑换次数值	进入重置的副本ID	条件id（1，2，3）	消耗银币	消耗绑金	消耗金条	消耗贡献度	消耗帮派资金	消耗荣誉	消耗物品id	消耗物品数量	消耗公会积分	换得物品ids	换得物品数量	绑定类型	获得银币	获得绑金	获得经验	获得贡献度	获得仙魂
1	1	1	01n115	召唤门派BOSS	帮会召唤奖励给个人	1001					1	3		5，18					15000								5000		50000	200	
2	1	1	01n115	仙兽逆袭活动	帮会召唤奖励给个人	1056				20:30-21:00	1	1		5，18													5000		50000	200	
1008	2	0	01vipfbn01	精英怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1008					1	1	9	8	10000																
1009	2	0	01vipfbn01	精英怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1009					1	1	9	9	10000																
1010	2	0	01vipfbn01	精英怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1010					1	1	9	10	10000																
1011	2	0	01vipfbn01	精英怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1011					1	1	9	11	10000																
1012	2	0	01vipfbn01	精英怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1012					1	1	9	12	10000																
1013	2	0	01vipfbn01	精英怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1013					1	1	9	13	10000																
1014	2	0	01vipfbn01	精英怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1014					1	1	9	14	10000																
1015	2	0	01vipfbn01	精英怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1015					1	1	9	15	10000																
1016	2	0	01vipfbn01	精英怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1016					1	1	9	16	10000																
1017	2	0	01vipfbn01	精英怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1017					1	1	9	17	10000																
1018	2	0	01vipfbn01	噩梦怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1018					1	1	9	8			10														
1019	2	0	01vipfbn01	噩梦怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1019					1	1	9	9			10														
1020	2	0	01vipfbn01	噩梦怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1020					1	1	9	10			10														
1021	2	0	01vipfbn01	噩梦怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1021					1	1	9	11			10														
1022	2	0	01vipfbn01	噩梦怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1022					1	1	9	12			10														
1023	2	0	01vipfbn01	噩梦怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1023					1	1	9	13			10														
1024	2	0	01vipfbn01	噩梦怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1024					1	1	9	14			10														
1025	2	0	01vipfbn01	噩梦怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1025					1	1	9	15			10														
1026	2	0	01vipfbn01	噩梦怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1026					1	1	9	16			10														
1027	2	0	01vipfbn01	噩梦怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1027					1	1	9	17			10														
1028	2	0	01vipfbn01	炼狱怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1028					1	1	9	8			50														
1029	2	0	01vipfbn01	炼狱怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1029					1	1	9	9			50														
1030	2	0	01vipfbn01	炼狱怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1030					1	1	9	10			50														
1031	2	0	01vipfbn01	炼狱怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1031					1	1	9	11			50														
1032	2	0	01vipfbn01	炼狱怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1032					1	1	9	12			50														
1033	2	0	01vipfbn01	炼狱怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1033					1	1	9	13			50														
1034	2	0	01vipfbn01	炼狱怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1034					1	1	9	14			50														
1035	2	0	01vipfbn01	炼狱怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1035					1	1	9	15			50														
1036	2	0	01vipfbn01	炼狱怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1036					1	1	9	16			50														
1037	2	0	01vipfbn01	炼狱怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1037					1	1	9	17			50														
1038	2	0	01vipfbn01	精英怪物	打怪怪，长肉肉！怪物越强，奖励越丰厚！只是他们的皮非常厚！	1038					1	1	9	19	10000																
