suitGroupId	level	equipslotType	goodsId	materialId1	materialNum1	materialId2	materialNum2	goldMoney
套装组ID	套装等级	装备部位	装备模版ID	材料1ID	材料1数量	材料2ID	材料2数量	元宝获得
4	40	0	4040400	7000008	2	7000006	4	
4	40	1	4040401	7000008	2	7000006	4	
4	40	2	4040402	7000008	2	7000006	4	
4	40	3	4040403	7000008	2	7000006	4	
4	40	4	4040404	7000008	2	7000006	4	
4	40	5	4040405	7000008	2	7000006	4	
4	40	6	4040406	7000008	2	7000006	4	
4	40	7	4040407	7000008	2	7000006	4	
4	40	8	4040408	7000008	2	7000006	4	
4	40	9	4040409	7000008	2	7000006	4	
5	40	0	4040500	7000008	1	7000006	10	
5	40	1	4040501	7000008	1	7000006	10	
5	40	2	4040502	7000008	1	7000006	10	
5	40	3	4040503	7000008	1	7000006	10	
5	40	4	4040504	7000008	1	7000006	10	
5	40	5	4040505	7000008	1	7000006	10	
5	40	6	4040506	7000008	1	7000006	10	
5	40	7	4040507	7000008	1	7000006	10	
5	40	8	4040508	7000008	1	7000006	10	
5	40	9	4040509	7000008	1	7000006	10	
5	60	0	4060500	7000008	1	7000006	10	
5	60	1	4060501	7000008	1	7000006	10	
5	60	2	4060502	7000008	1	7000006	10	
5	60	3	4060503	7000008	1	7000006	10	
5	60	4	4060504	7000008	1	7000006	10	
5	60	5	4060505	7000008	1	7000006	10	
5	60	6	4060506	7000008	1	7000006	10	
5	60	7	4060507	7000008	1	7000006	10	
5	60	8	4060508	7000008	1	7000006	10	
5	60	9	4060509	7000008	1	7000006	10	
5	80	0	4080500	7000008	1	7000006	10	
5	80	1	4080501	7000008	1	7000006	10	
5	80	2	4080502	7000008	1	7000006	10	
5	80	3	4080503	7000008	1	7000006	10	
5	80	4	4080504	7000008	1	7000006	10	
5	80	5	4080505	7000008	1	7000006	10	
5	80	6	4080506	7000008	1	7000006	10	
5	80	7	4080507	7000008	1	7000006	10	
5	80	8	4080508	7000008	1	7000006	10	
5	80	9	4080509	7000008	1	7000006	10	
5	100	0	4100500	7000008	1	7000006	10	
5	100	1	4100501	7000008	1	7000006	10	
5	100	2	4100502	7000008	1	7000006	10	
5	100	3	4100503	7000008	1	7000006	10	
5	100	4	4100504	7000008	1	7000006	10	
5	100	5	4100505	7000008	1	7000006	10	
5	100	6	4100506	7000008	1	7000006	10	
5	100	7	4100507	7000008	1	7000006	10	
5	100	8	4100508	7000008	1	7000006	10	
5	100	9	4100509	7000008	1	7000006	10	
5	110	0	4110500	7000008	1	7000006	10	
5	110	1	4110501	7000008	1	7000006	10	
5	110	2	4110502	7000008	1	7000006	10	
5	110	3	4110503	7000008	1	7000006	10	
5	110	4	4110504	7000008	1	7000006	10	
5	110	5	4110505	7000008	1	7000006	10	
5	110	6	4110506	7000008	1	7000006	10	
5	110	7	4110507	7000008	1	7000006	10	
5	110	8	4110508	7000008	1	7000006	10	
5	110	9	4110509	7000008	1	7000006	10	
5	120	0	4120500	7000008	1	7000006	10	
5	120	1	4120501	7000008	1	7000006	10	
5	120	2	4120502	7000008	1	7000006	10	
5	120	3	4120503	7000008	1	7000006	10	
5	120	4	4120504	7000008	1	7000006	10	
5	120	5	4120505	7000008	1	7000006	10	
5	120	6	4120506	7000008	1	7000006	10	
5	120	7	4120507	7000008	1	7000006	10	
5	120	8	4120508	7000008	1	7000006	10	
5	120	9	4120509	7000008	1	7000006	10	
5	130	0	4130500	7000008	1	7000006	10	
5	130	1	4130501	7000008	1	7000006	10	
5	130	2	4130502	7000008	1	7000006	10	
5	130	3	4130503	7000008	1	7000006	10	
5	130	4	4130504	7000008	1	7000006	10	
5	130	5	4130505	7000008	1	7000006	10	
5	130	6	4130506	7000008	1	7000006	10	
5	130	7	4130507	7000008	1	7000006	10	
5	130	8	4130508	7000008	1	7000006	10	
5	130	9	4130509	7000008	1	7000006	10	
5	140	0	4140500	7000008	1	7000006	10	
5	140	1	4140501	7000008	1	7000006	10	
5	140	2	4140502	7000008	1	7000006	10	
5	140	3	4140503	7000008	1	7000006	10	
5	140	4	4140504	7000008	1	7000006	10	
5	140	5	4140505	7000008	1	7000006	10	
5	140	6	4140506	7000008	1	7000006	10	
5	140	7	4140507	7000008	1	7000006	10	
5	140	8	4140508	7000008	1	7000006	10	
5	140	9	4140509	7000008	1	7000006	10	
5	150	0	4150500	7000008	1	7000006	10	
5	150	1	4150501	7000008	1	7000006	10	
5	150	2	4150502	7000008	1	7000006	10	
5	150	3	4150503	7000008	1	7000006	10	
5	150	4	4150504	7000008	1	7000006	10	
5	150	5	4150505	7000008	1	7000006	10	
5	150	6	4150506	7000008	1	7000006	10	
5	150	7	4150507	7000008	1	7000006	10	
