groupId	ruleId1	weight1	ruleId2	weight2	ruleId3	weight3	ruleId4	weight4	ruleId5	weight5
组ID	规则1	权重1	规则2	权重2	规则3	权重3	规则4	权重4	规则5	权重5
1001	1088	984	1001	10	1030	5	1059	1		
1002	1089	984	1002	10	1031	5	1060	1		
1003	1090	984	1003	10	1032	5	1061	1		
1004	1091	984	1004	10	1033	5	1062	1		
1005	1092	984	1005	10	1034	5	1063	1		
1006	1093	984	1006	10	1035	5	1064	1		
1007	1094	984	1007	10	1036	5	1065	1		
1008	1095	984	1008	10	1037	5	1066	1		
1009	1096	984	1009	10	1038	5	1067	1		
1010	1097	984	1010	10	1039	5	1068	1		
1011	1098	984	1011	10	1040	5	1069	1		
1012	1099	984	1012	10	1041	5	1070	1		
1013	1100	984	1013	10	1042	5	1071	1		
1014	1101	984	1014	10	1043	5	1072	1		
1015	1102	984	1015	10	1044	5	1073	1		
1016	1103	984	1016	10	1045	5	1074	1		
1017	1104	984	1017	10	1046	5	1075	1		
1018	1105	984	1018	10	1047	5	1076	1		
1019	1106	984	1019	10	1048	5	1077	1		
1020	1107	984	1020	10	1049	5	1078	1		
1021	1108	984	1021	10	1050	5	1079	1		
1022	1109	984	1022	10	1051	5	1080	1		
1023	1110	984	1023	10	1052	5	1081	1		
1024	1111	984	1024	10	1053	5	1082	1		
1025	1112	984	1025	10	1054	5	1083	1		
1026	1113	984	1026	10	1055	5	1084	1		
1027	1114	984	1027	10	1056	5	1085	1		
1028	1115	984	1028	10	1057	5	1086	1		
1029	1116	984	1029	10	1058	5	1087	1		
										
1100	1500	1								
1101	1501	1								
1102	1502	1								
1103	1503	1								
1104	1504	1								
1105	1505	1								
1106	1506	1								
1107	1507	1								
1108	1508	1								
1109	1509	1								
1110	1510	1								
1111	1511	1								
1112	1512	1								
1113	1513	1								
1114	1514	1								
1115	1515	1								
1116	1516	1								
1117	1517	1								
1118	1518	1								
1119	1519	1								
1120	1520	1								
1121	1521	1								
1122	1522	1								
1123	1523	1								
1124	1524	1								
1125	1525	1								
1126	1526	1								
1127	1527	1								
1128	1528	1								
1129	1529	1								
1130	1530	1								
1131	1531	1								
1132	1532	1								
1133	1533	1								
1134	1534	1								
1135	1535	1								
										
										
1300	1600	1								
1301	1601	1								
1302	1602	1								
1303	1603	1								
1304	1604	1								
1305	1605	1								
1306	1606	1								
1307	1607	1								
1308	1608	1								
1309	1609	1								
1310	1610	1								
1311	1611	1								
1312	1612	1								
1313	1613	1								
1314	1614	1								
1315	1615	1								
1316	1616	1								
1317	1617	1								
1318	1618	1								
1319	1619	1								
1320	1620	1								
1321	1621	1								
1322	1622	1								
1323	1623	1								
1324	1624	1								
1325	1625	1								
1326	1626	1								
1327	1627	1								
1328	1628	1								
1329	1629	1								
1330	1630	1								
1331	1631	1								
1332	1632	1								
1333	1633	1								
1334	1634	1								
1335	1635	1								
1336	1636	1								
1337	1637	1								
1338	1638	1								
1339	1639	1								
1340	1640	1								
1341	1641	1								
1342	1642	1								
1343	1643	1								
1344	1644	1								
1345	1645	1								
1346	1646	1								
1347	1647	1								
1348	1648	1								
1349	1649	1								
1350	1650	1								
1351	1651	1								
1352	1652	1								
1353	1653	1								
1354	1654	1								
1355	1655	1								
1356	1656	1								
1357	1657	1								
1358	1658	1								
1359	1659	1								
1360	1660	1								
1361	1661	1								
1362	1662	1								
1363	1663	1								
1364	1664	1								
1365	1665	1								
1366	1666	1								
1367	1667	1								
1368	1668	1								
1369	1669	1								
1370	1670	1								
1371	1671	1								
1372	1672	1								
1373	1673	1								
1374	1674	1								
1375	1675	1								
1376	1676	1								
1377	1677	1								
1378	1678	1								
1379	1679	1								
1380	1680	1								
1381	1681	1								
1382	1682	1								
1383	1683	1								
1384	1684	1								
1385	1685	1								
1386	1686	1								
1387	1687	1								
1388	1688	1								
1389	1689	1								
1390	1690	1								
1391	1691	1								
1392	1692	1								
1393	1693	1								
1394	1694	1								
1395	1695	1								
1396	1696	1								
1397	1697	1								
1398	1698	1								
1399	1699	1								
1400	1700	1								
1401	1701	1								
1402	1702	1								
1403	1703	1								
1404	1704	1								
1405	1705	1								
1406	1706	1								
1407	1707	1								
1408	1708	1								
1409	1709	1								
1410	1710	1								
1411	1711	1								
1412	1712	1								
1413	1713	1								
1414	1714	1								
1415	1715	1								
1416	1716	1								
										
										
1501	1901	1								
1502	1902	1								
1503	1903	1								
1504	1904	1								
1505	1905	1								
1506	1906	1								
1507	1907	1								
1508	1908	1								
1509	1909	1								
1510	1910	1								
1511	1911	1								
1512	1912	1								
1513	1913	1								
1514	1914	1								
1515	1915	1								
1516	1916	1								
1517	1917	1								
1518	1918	1								
1519	1919	1								
1520	1920	1								
1521	1921	1								
1522	1922	1								
1523	1923	1								
1524	1924	1								
1525	1925	1								
1526	1926	1								
1527	1927	1								
1528	1928	1								
1529	1929	1								
1530	1930	1								
1531	1931	1								
1532	1932	1								
1533	1933	1								
1534	1934	1								
1535	1935	1								
1536	1936	1								
1537	1937	1								
1538	1938	1								
1539	1939	1								
1540	1940	1								
1541	1941	1								
1542	1942	1								
1543	1943	1								
1544	1944	1								
1545	1945	1								
1546	1946	1								
1547	1947	1								
1548	1948	1								
1549	1949	1								
1550	1950	1								
1551	1951	1								
1552	1952	1								
1553	1953	1								
1554	1954	1								
1555	1955	1								
1556	1956	1								
1557	1957	1								
1558	1958	1								
1559	1959	1								
1560	1960	1								
1561	1961	1								
1562	1962	1								
1563	1963	1								
1564	1964	1								
1565	1965	1								
1566	1966	1								
1567	1967	1								
1568	1968	1								
1569	1969	1								
1570	1970	1								
1571	1971	1								
1572	1972	1								
1573	1973	1								
1574	1974	1								
1575	1975	1								
1576	1976	1								
1577	1977	1								
1578	1978	1								
1579	1979	1								
1580	1980	1								
1581	1981	1								
1582	1982	1								
1583	1983	1								
1584	1984	1								
1585	1985	1								
1586	1986	1								
1587	1987	1								
1588	1988	1								
1589	1989	1								
1590	1990	1								
1591	1991	1								
1592	1992	1								
1593	1993	1								
1594	1994	1								
1595	1995	1								
1596	1996	1								
1597	1997	1								
1598	1998	1								
1599	1999	1								
1600	2000	1								
1601	2001	1								
1602	2002	1								
1603	2003	1								
1604	2004	1								
1605	2005	1								
1606	2006	1								
1607	2007	1								
1608	2008	1								
1609	2009	1								
1610	2010	1								
1611	2011	1								
1612	2012	1								
1613	2013	1								
1614	2014	1								
1615	2015	1								
1616	2016	1								
1617	2017	1								
1618	2018	1								
1619	2019	1								
1620	2020	1								
1621	2021	1								
1622	2022	200	2023	200	2024	200	2025	200	2026	50
1623	2027	200	2028	200	2029	200	2030	200	2031	50
1624	2032	200	2033	200	2034	200	2035	200	2036	50
1625	2037	200	2038	200	2039	200	2040	200	2041	50
1626	2042	200	2043	200	2044	200	2045	200	2046	50
										
1627	2047	250	2048	350	2049	250	2050	100	2051	50
1628	2052	250	2053	350	2054	250	2055	100	2056	50
1629	2057	250	2058	350	2059	250	2060	100	2061	50
1630	2062	250	2063	350	2064	250	2065	100	2066	50
1631	2067	250	2068	350	2069	250	2070	100	2071	50
1632	2072	10000								
1633	2074	50	2075	50	2076	50	2077	50	2073	800
1634	2078	50	2079	50	2080	50	2081	50	2073	800
1635	2082	50	2083	50	2084	50	2085	50	2073	800
1636	2086	50	2087	50	2088	50	2089	50	2073	800
1637	2090	50	2091	50	2092	50	2093	50	2073	800
1638	2094	1								
