id	flyLevel	level	functionName	buffId	buffName
神兽ID	飞升等级	仙兽等级	功能选项名称	增加buffId	buff名字
1	0	1	1000门派资金提升全员生命上限1级(100%成功）	9145	生命上限提升
1	0	2	1500门派资金提升全员生命上限2级(100%成功）	9146	生命上限提升
1	0	3	2000门派资金提升全员生命上限3级(100%成功）	9147	生命上限提升
1	0	4	2500门派资金提升全员生命上限4级(100%成功）	9148	生命上限提升
1	0	5	3000门派资金提升全员生命上限5级(100%成功）	9149	生命上限提升
1	0	6	3500门派资金提升全员生命上限6级(100%成功）	9150	生命上限提升
1	0	7	4000门派资金提升全员生命上限7级(100%成功）	9151	生命上限提升
1	0	8	4500门派资金提升全员生命上限8级(100%成功）	9152	生命上限提升
1	0	9	5000门派资金提升全员生命上限9级(100%成功）	9153	生命上限提升
1	1	1	1000门派资金提升全员生命上限1级(100%成功）	9145	生命上限提升
1	1	2	1500门派资金提升全员生命上限2级(100%成功）	9146	生命上限提升
1	1	3	2000门派资金提升全员生命上限3级(100%成功）	9147	生命上限提升
1	1	4	2500门派资金提升全员生命上限4级(100%成功）	9148	生命上限提升
1	1	5	3000门派资金提升全员生命上限5级(100%成功）	9149	生命上限提升
1	1	6	3500门派资金提升全员生命上限6级(100%成功）	9150	生命上限提升
1	1	7	4000门派资金提升全员生命上限7级(100%成功）	9151	生命上限提升
1	1	8	4500门派资金提升全员生命上限8级(100%成功）	9152	生命上限提升
1	1	9	5000门派资金提升全员生命上限9级(100%成功）	9153	生命上限提升
1	2	1	1000门派资金提升全员生命上限1级(100%成功）	9145	生命上限提升
1	2	2	1500门派资金提升全员生命上限2级(100%成功）	9146	生命上限提升
1	2	3	2000门派资金提升全员生命上限3级(100%成功）	9147	生命上限提升
1	2	4	2500门派资金提升全员生命上限4级(100%成功）	9148	生命上限提升
1	2	5	3000门派资金提升全员生命上限5级(100%成功）	9149	生命上限提升
1	2	6	3500门派资金提升全员生命上限6级(100%成功）	9150	生命上限提升
1	2	7	4000门派资金提升全员生命上限7级(100%成功）	9151	生命上限提升
1	2	8	4500门派资金提升全员生命上限8级(100%成功）	9152	生命上限提升
1	2	9	5000门派资金提升全员生命上限9级(100%成功）	9153	生命上限提升
1	3	1	1000门派资金提升全员生命上限1级(100%成功）	9145	生命上限提升
1	3	2	1500门派资金提升全员生命上限2级(100%成功）	9146	生命上限提升
1	3	3	2000门派资金提升全员生命上限3级(100%成功）	9147	生命上限提升
1	3	4	2500门派资金提升全员生命上限4级(100%成功）	9148	生命上限提升
1	3	5	3000门派资金提升全员生命上限5级(100%成功）	9149	生命上限提升
1	3	6	3500门派资金提升全员生命上限6级(100%成功）	9150	生命上限提升
1	3	7	4000门派资金提升全员生命上限7级(100%成功）	9151	生命上限提升
1	3	8	4500门派资金提升全员生命上限8级(100%成功）	9152	生命上限提升
1	3	9	5000门派资金提升全员生命上限9级(100%成功）	9153	生命上限提升
1	1	1	2000金币鼓舞提升攻击1级	9118	攻击提升
1	1	2	2000金币鼓舞提升攻击2级	9119	攻击提升
1	1	3	2000金币鼓舞提升攻击3级	9120	攻击提升
