rewardId	exp	bindMoney	silverMoney	goodsId1	goodsNum1	bind1	goodsId2	goodsNum2	bind2	goodsId3	goodsNum3	bind3	goodsId4	goodsNum4	bind4	goodsId5	goodsNum5	bind5	senderName	title	content
奖励ID	经验	绑金	游戏币	奖励物品1	奖励1数量	绑定\n类型	奖励物品2	奖励2数量	绑定\n类型	奖励物品3	奖励3数量	绑定\n类型	奖励物品4	奖励4数量	绑定\n类型	奖励物品5	奖励5数量	绑定\n类型	邮件发件人	邮件标题	邮件内容
2501	137100		8310	71001	1	1							9250	1	1				系统	九尾狐逆袭奖励	恭喜您在九尾狐逆袭活动中，造成${hurt}伤害，名列第${index}。\n
2502	114250		6930	71001	1	1													系统	九尾狐逆袭奖励	恭喜您在九尾狐逆袭活动中，造成${hurt}伤害，名列第${index}。\n
2503	91400		5540	71001	1	1													系统	九尾狐逆袭奖励	恭喜您在九尾狐逆袭活动中，造成${hurt}伤害，名列第${index}。\n
2504	82260		4990	71001	1	1													系统	九尾狐逆袭奖励	恭喜您在九尾狐逆袭活动中，造成${hurt}伤害，名列第${index}。\n
2511	68550		4160	71001	1	1													系统	九尾狐逆袭奖励	恭喜您在九尾狐逆袭活动中，造成${hurt}伤害，名列第${index}。\n
2516	57125		3460	71001	1	1													系统	九尾狐逆袭奖励	恭喜您在九尾狐逆袭活动中，造成${hurt}伤害，名列第${index}。\n
2521	45700		2770	71001	1	1													系统	九尾狐逆袭奖励	恭喜您在九尾狐逆袭活动中，造成${hurt}伤害，名列第${index}。\n
2526	45700		2770	71001	1	1													系统	九尾狐逆袭奖励	恭喜您在九尾狐逆袭活动中，造成${hurt}伤害，名列第${index}。\n
2531	45700		2770	71001	1	1													系统	九尾狐逆袭奖励	恭喜您在九尾狐逆袭活动中，造成${hurt}伤害，名列第${index}。\n
2536	45700		2770	71001	1	1													系统	九尾狐逆袭奖励	恭喜您在九尾狐逆袭活动中，造成${hurt}伤害，名列第${index}。\n
2541	45700		2770	71001	1	1													系统	九尾狐逆袭奖励	恭喜您在九尾狐逆袭活动中，造成${hurt}伤害，名列第${index}。\n
2546	45700		2770	71001	1	1													系统	九尾狐逆袭奖励	恭喜您在九尾狐逆袭活动中，造成${hurt}伤害，名列第${index}。\n
2601	137100		9240	71001	1	1							9250	1	1				系统	九尾狐逆袭奖励	恭喜您在九尾狐逆袭活动中，造成${hurt}伤害，名列第${index}。\n
