0	2	6	4	8	9	3	1	5	7	0	2	6	4	8	9	3	1	5	7	0	2	6	4	8	9	3	1	5	7
帽子	衣服	裤子	腰带	鞋子	手镯	戒指	项链	护手	武器	帽子	衣服	裤子	腰带	鞋子	手镯	戒指	项链	护手	武器	帽子	衣服	裤子	腰带	鞋子	手镯	戒指	项链	护手	武器
0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	44	44	44	44	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	21	12	12	12	12	12	12	12	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	44	26	26	26	26	26	26	26	53	10	16	10	10	10	10	10	10	10	20	0	0	0	0	0	0	0	0	0	0
40	67	40	40	40	40	40	40	40	80	18	30	18	18	18	18	18	18	18	36	13	21	13	13	13	13	13	13	13	25
77	129	77	77	77	77	77	77	77	155	26	43	26	26	26	26	26	26	26	51	22	37	22	22	22	22	22	22	22	45
247	411	247	247	247	247	247	247	247	493	71	119	71	71	71	71	71	71	71	143	44	73	44	44	44	44	44	44	44	87
0	0	0	0	0	53	53	53	53	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	25	14	14	14	14	14	14	14	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	53	31	31	31	31	31	31	31	64	12	19	12	12	12	12	12	12	12	24	0	0	0	0	0	0	0	0	0	0
48	80	48	48	48	48	48	48	48	96	22	36	22	22	22	22	22	22	22	43	16	25	16	16	16	16	16	16	16	30
92	155	92	92	92	92	92	92	92	186	31	52	31	31	31	31	31	31	31	61	26	44	26	26	26	26	26	26	26	54
296	493	296	296	296	296	296	296	296	592	85	143	85	85	85	85	85	85	85	172	53	88	53	53	53	53	53	53	53	104
