1	1	index	七星位置	0	1	2	3	4	5	6
2	2	minLevel	最小角色等级	30	30	30	30	30	30	30
3	3	maxLevel	最大角色等级	60	60	60	60	60	60	60
4	4	eventId1	任务1ID	748	748	748	748	748	748	748
6	4	eventId2	任务2ID	749	749	749	749	749	749	749
8	5	eventId3	任务3ID	750	750	750	750	750	750	750
10	5	eventId4	任务4ID	751	751	751	751	751	751	751
12	6	eventId5	任务5ID	752	752	752	752	752	752	752
14	6	eventId6	任务6ID	753	753	753	753	753	753	753
16	7	eventId7	任务7ID	754	754	754	754	754	754	754
18	7	eventId8	任务8ID	755	755	755	755	755	755	755
20	8	eventId9	任务9ID	756	756	756	756	756	756	756
22	8	eventId10	任务10ID	757	757	757	757	757	757	757
24	9	eventId11	任务11ID	758	758	758	758	758	758	758
26	9	eventId12	任务12ID	759	759	759	759	759	759	759
28	10	eventId13	任务13ID	760	760	760	760	760	760	760
30	10	eventId14	任务14ID	761	761	761	761	761	761	761
32	11	eventId15	任务15ID	762	762	762	762	762	762	762
34	11	eventId16	任务16ID	763	763	763	763	763	763	763
36	12	eventId17	任务17ID	764	764	764	764	764	764	764
38	12	eventId18	任务18ID	765	765	765	765	765	765	765
40	13	eventId19	任务19ID	766	766	766	766	766	766	766
42	13	eventId20	任务20ID	767	767	767	767	767	767	767
5	33	odds1	任务1概率	15	15	15	15	15	10	5
7	14	odds2	任务2概率	15	15	15	15	15	10	5
9	34	odds3	任务3概率	15	15	15	15	15	10	5
11	15	odds4	任务4概率	15	15	15	15	15	10	5
13	35	odds5	任务5概率	15	15	15	15	15	10	5
15	16	odds6	任务6概率	15	15	15	15	15	10	5
17	36	odds7	任务7概率	15	15	15	15	15	10	5
19	17	odds8	任务8概率	5	10	10	15	15	15	10
21	37	odds9	任务9概率	5	10	10	15	15	15	10
23	18	odds10	任务10概率	5	10	10	15	15	15	10
25	38	odds11	任务11概率	5	10	10	15	15	15	10
27	19	odds12	任务12概率	5	10	10	15	15	15	10
29	39	odds13	任务13概率	5	10	10	15	15	15	10
31	20	odds14	任务14概率	5	10	10	15	15	15	10
33	40	odds15	任务15概率	0	0	5	5	10	15	15
35	21	odds16	任务16概率	0	0	5	5	10	15	15
37	41	odds17	任务17概率	0	0	5	5	10	15	15
39	22	odds18	任务18概率	0	0	5	5	10	15	15
41	42	odds19	任务19概率	0	0	5	5	10	15	15
43	23	odds20	任务20概率	0	0	5	5	10	15	15
