goddessId	level	maxExp	atk	rit	hp
id	等级	升级所需经验	攻击	防御	生命
2000000	1	3000	130	78	972
2000000	2	3000	139	84	1044
2000000	3	3000	149	89	1116
2000000	4	3000	158	95	1188
2000000	5	3000	168	101	1260
2000000	6	3000	178	107	1332
2000000	7	3000	187	112	1404
2000000	8	3000	197	118	1476
2000000	9	3000	206	124	1548
2000000	10	3000	216	130	1620
2000000	11	3000	227	136	1701
2000000	12	3000	238	143	1782
2000000	13	3000	248	149	1863
2000000	14	3000	259	156	1944
2000000	15	3000	270	162	2025
2000000	16	3000	281	168	2106
2000000	17	3000	292	175	2187
2000000	18	3000	302	181	2268
2000000	19	3000	313	188	2349
2000000	20	3000	324	194	2430
2000000	21	3000	336	202	2520
2000000	22	3000	348	209	2610
2000000	23	3000	360	216	2700
2000000	24	3000	372	223	2790
2000000	25	3000	384	230	2880
2000000	26	3000	396	238	2970
2000000	27	3000	408	245	3060
2000000	28	3000	420	252	3150
2000000	29	3000	432	259	3240
2000000	30	3000	444	266	3330
2000000	31	3000	457	274	3429
2000000	32	3000	470	282	3528
2000000	33	3000	484	290	3627
2000000	34	3000	497	298	3726
2000000	35	3000	510	306	3825
2000000	36	3000	523	314	3924
2000000	37	3000	536	322	4023
2000000	38	3000	550	330	4122
2000000	39	3000	563	338	4221
2000000	40	3000	576	346	4320
2000000	41	3000	590	354	4428
2000000	42	3000	605	363	4536
2000000	43	3000	619	372	4644
2000000	44	3000	634	380	4752
2000000	45	3000	648	389	4860
2000000	46	3000	662	397	4968
2000000	47	3000	677	406	5076
2000000	48	3000	691	415	5184
2000000	49	3000	706	423	5292
2000000	50	3000	720	432	5400
2000000	51	3000	736	441	5517
2000000	52	3000	751	451	5634
2000000	53	3000	767	460	5751
2000000	54	3000	782	469	5868
2000000	55	3000	798	479	5985
2000000	56	3000	814	488	6102
2000000	57	3000	829	498	6219
2000000	58	3000	845	507	6336
2000000	59	3000	860	516	6453
2000000	60	3000	876	526	6570
2000000	61	3000	893	536	6696
2000000	62	3000	910	546	6822
2000000	63	3000	926	556	6948
2000000	64	3000	943	566	7074
2000000	65	3000	960	576	7200
2000000	66	3000	977	586	7326
2000000	67	3000	994	596	7452
2000000	68	3000	1010	606	7578
2000000	69	3000	1027	616	7704
2000000	70	3000	1044	626	7830
2000000	71	3000	1062	637	7965
2000000	72	3000	1080	648	8100
2000000	73	3000	1098	659	8235
2000000	74	3000	1116	670	8370
2000000	75	3000	1134	680	8505
2000000	76	3000	1152	691	8640
2000000	77	3000	1170	702	8775
2000000	78	3000	1188	713	8910
2000000	79	3000	1206	724	9045
2000000	80	3000	1224	734	9180
2000000	81	3000	1247	748	9351
2000000	82	3000	1270	762	9522
2000000	83	3000	1292	775	9693
2000000	84	3000	1315	789	9864
2000000	85	3000	1338	803	10035
2000000	86	3000	1361	816	10206
2000000	87	3000	1384	830	10377
2000000	88	3000	1406	844	10548
2000000	89	3000	1429	858	10719
2000000	90	3000	1452	871	10890
2000000	91	3000	1480	888	11097
2000000	92	3000	1507	904	11304
2000000	93	3000	1535	921	11511
2000000	94	3000	1562	937	11718
2000000	95	3000	1590	954	11925
2000000	96	3000	1618	971	12132
2000000	97	3000	1645	987	12339
2000000	98	3000	1673	1004	12546
2000000	99	3000	1700	1020	12753
2000000	100	3000	1728	1037	12960
2000000	101	3000	1760	1056	13203
2000000	102	3000	1793	1076	13446
2000000	103	3000	1825	1095	13689
2000000	104	3000	1858	1115	13932
2000000	105	3000	1890	1134	14175
2000000	106	3000	1922	1153	14418
2000000	107	3000	1955	1173	14661
2000000	108	3000	1987	1192	14904
2000000	109	3000	2020	1212	15147
2000000	110	3000	2052	1231	15390
2000000	111	3000	2089	1254	15669
2000000	112	3000	2126	1276	15948
2000000	113	3000	2164	1298	16227
2000000	114	3000	2201	1320	16506
2000000	115	3000	2238	1343	16785
2000000	116	3000	2275	1365	17064
2000000	117	3000	2312	1387	17343
2000000	118	3000	2350	1410	17622
2000000	119	3000	2387	1432	17901
2000000	120	3000	2424	1454	18180
2000000	121	3000	2466	1480	18495
2000000	122	3000	2508	1505	18810
2000000	123	3000	2550	1530	19125
2000000	124	3000	2592	1555	19440
2000000	125	3000	2634	1580	19755
2000000	126	3000	2676	1606	20070
2000000	127	3000	2718	1631	20385
2000000	128	3000	2760	1656	20700
2000000	129	3000	2802	1681	21015
2000000	130	3000	2844	1706	21330
2000000	131	3000	2891	1734	21681
2000000	132	3000	2938	1763	22032
2000000	133	3000	2984	1791	22383
2000000	134	3000	3031	1819	22734
2000000	135	3000	3078	1847	23085
2000000	136	3000	3125	1875	23436
2000000	137	3000	3172	1903	23787
2000000	138	3000	3218	1931	24138
2000000	139	3000	3265	1959	24489
2000000	140	3000	3312	1987	24840
2000000	141	3000	3359	2015	25191
2000000	142	3000	3406	2043	25542
2000000	143	3000	3452	2071	25893
2000000	144	3000	3499	2100	26244
2000000	145	3000	3546	2128	26595
2000000	146	3000	3593	2156	26946
2000000	147	3000	3640	2184	27297
2000000	148	3000	3686	2212	27648
2000000	149	3000	3733	2240	27999
2000000	150	3000	3780	2268	28350
2000000	151	3000	3827	2296	28701
2000000	152	3000	3874	2324	29052
2000000	153	3000	3920	2352	29403
2000000	154	3000	3967	2380	29754
2000000	155	3000	4014	2408	30105
2000000	156	3000	4061	2436	30456
2000000	157	3000	4108	2465	30807
2000000	158	3000	4154	2493	31158
2000000	159	3000	4201	2521	31509
2000000	160	3000	4248	2549	31860
2000000	161	3000	4295	2577	32211
2000000	162	3000	4342	2605	32562
2000000	163	3000	4388	2633	32913
2000000	164	3000	4435	2661	33264
2000000	165	3000	4482	2689	33615
2000000	166	3000	4529	2717	33966
2000000	167	3000	4576	2745	34317
2000000	168	3000	4622	2773	34668
2000000	169	3000	4669	2802	35019
2000000	170	3000	4716	2830	35370
2000000	171	3000	4763	2858	35721
2000000	172	3000	4810	2886	36072
2000000	173	3000	4856	2914	36423
2000000	174	3000	4903	2942	36774
2000000	175	3000	4950	2970	37125
2000000	176	3000	4997	2998	37476
2000000	177	3000	5044	3026	37827
2000000	178	3000	5090	3054	38178
2000000	179	3000	5137	3082	38529
2000000	180	3000	5184	3110	38880
2000000	181	3000	5231	3138	39231
2000000	182	3000	5278	3167	39582
2000000	183	3000	5324	3195	39933
2000000	184	3000	5371	3223	40284
2000000	185	3000	5418	3251	40635
2000000	186	3000	5465	3279	40986
2000000	187	3000	5512	3307	41337
2000000	188	3000	5558	3335	41688
2000000	189	3000	5605	3363	42039
2000000	190	3000	5652	3391	42390
2000000	191	3000	5699	3419	42741
2000000	192	3000	5746	3447	43092
2000000	193	3000	5792	3475	43443
2000000	194	3000	5839	3504	43794
2000000	195	3000	5886	3532	44145
2000000	196	3000	5933	3560	44496
2000000	197	3000	5980	3588	44847
2000000	198	3000	6026	3616	45198
2000000	199	3000	6073	3644	45549
2000000	200	3000	6120	3672	45900
2000001	1	3000	130	78	972
2000001	2	3000	139	84	1044
2000001	3	3000	149	89	1116
2000001	4	3000	158	95	1188
2000001	5	3000	168	101	1260
2000001	6	3000	178	107	1332
2000001	7	3000	187	112	1404
2000001	8	3000	197	118	1476
2000001	9	3000	206	124	1548
2000001	10	3000	216	130	1620
2000001	11	3000	227	136	1701
2000001	12	3000	238	143	1782
2000001	13	3000	248	149	1863
2000001	14	3000	259	156	1944
2000001	15	3000	270	162	2025
2000001	16	3000	281	168	2106
2000001	17	3000	292	175	2187
2000001	18	3000	302	181	2268
2000001	19	3000	313	188	2349
2000001	20	3000	324	194	2430
2000001	21	3000	336	202	2520
2000001	22	3000	348	209	2610
2000001	23	3000	360	216	2700
2000001	24	3000	372	223	2790
2000001	25	3000	384	230	2880
2000001	26	3000	396	238	2970
2000001	27	3000	408	245	3060
2000001	28	3000	420	252	3150
2000001	29	3000	432	259	3240
2000001	30	3000	444	266	3330
2000001	31	3000	457	274	3429
2000001	32	3000	470	282	3528
2000001	33	3000	484	290	3627
2000001	34	3000	497	298	3726
2000001	35	3000	510	306	3825
2000001	36	3000	523	314	3924
2000001	37	3000	536	322	4023
2000001	38	3000	550	330	4122
2000001	39	3000	563	338	4221
2000001	40	3000	576	346	4320
2000001	41	3000	590	354	4428
2000001	42	3000	605	363	4536
2000001	43	3000	619	372	4644
2000001	44	3000	634	380	4752
2000001	45	3000	648	389	4860
2000001	46	3000	662	397	4968
2000001	47	3000	677	406	5076
2000001	48	3000	691	415	5184
2000001	49	3000	706	423	5292
2000001	50	3000	720	432	5400
2000001	51	3000	736	441	5517
2000001	52	3000	751	451	5634
2000001	53	3000	767	460	5751
2000001	54	3000	782	469	5868
2000001	55	3000	798	479	5985
