ruleId	bornTime	bornnpcid	bornnpccount	bornmapgxbegin	bornmapgxend	bornmapgybegin	bornmapgyend	batchIndex	boss	broadcast
规则ID	刷出时间(秒)	NPC模板ID	NPC数量	坐标X最小值	坐标X最大值	坐标Y最小值	坐标Y最大值	拨次 从1开始	是否是boss 1：是 0：不是	广播内容
1000	1	01cs001	10	490	1138	495	825	1	0	第1波开始！
1000	0	01cs002	10	490	1138	495	825	2	0	第2波开始！
1000	0	01cs003	10	490	1138	495	825	3	0	第3波开始！
1000	0	01cs004	10	490	1138	495	825	4	0	第4波开始！
1000	0	01cs005	10	490	1138	495	825	5	0	第5波开始！
1000	0	01cs006	10	490	1138	495	825	6	0	第6波开始！
1000	0	01cs007	10	490	1138	495	825	7	0	第7波开始！
1000	0	01cs008	10	490	1138	495	825	8	0	第8波开始！
1000	0	01cs009	10	490	1138	495	825	9	0	第9波开始！
1000	0	01cs010	10	490	1138	495	825	10	0	第10波开始！
1000	0	01cs011	10	490	1138	495	825	11	0	第11波开始！
1000	0	01cs012	10	490	1138	495	825	12	0	第12波开始！
1000	0	01cs013	10	490	1138	495	825	13	0	第13波开始！
1000	0	01cs014	10	490	1138	495	825	14	0	第14波开始！
1000	0	01cs015	10	490	1138	495	825	15	0	第15波开始！
1000	0	01cs016	10	490	1138	495	825	16	0	第16波开始！
1000	0	01cs017	10	490	1138	495	825	17	0	第17波开始！
1000	0	01cs018	10	490	1138	495	825	18	0	第18波开始！
1000	0	01cs019	10	490	1138	495	825	19	0	第19波开始！
1000	0	01cs020	10	490	1138	495	825	20	0	第20波开始！
1000	0	01cs021	10	490	1138	495	825	21	0	第21波开始！
1000	0	01cs022	10	490	1138	495	825	22	0	第22波开始！
1000	0	01cs023	10	490	1138	495	825	23	0	第23波开始！
1000	0	01cs024	10	490	1138	495	825	24	0	第24波开始！
1000	0	01cs025	10	490	1138	495	825	25	0	第25波开始！
1000	0	01cs026	10	490	1138	495	825	26	0	第26波开始！
1000	0	01cs027	10	490	1138	495	825	27	0	第27波开始！
1000	0	01cs028	10	490	1138	495	825	28	0	第28波开始！
1000	0	01cs029	10	490	1138	495	825	29	0	第29波开始！
1000	0	01cs030	10	490	1138	495	825	30	0	最后一波！
1000	0	01cs031	1	613	613	549	549	5	0	叮当一响，黄金万两。
