gateId	scoreType	career	groupId1	weight1	groupId2	weight2	groupId3	weight3	groupId4	weight4	groupId5	weight5
关卡id	评分等级	职业id	物品组id1	权重1	物品组id2	权重2	物品组id3	权重3	物品组id4	权重4	物品组id5	权重5
FBshenxiaodian1	1	0	1011	3700	1021	3000	1031	2000	1041	1000	1051	300
FBshenxiaodian1	1	1	1011	3700	1021	3000	1031	2000	1041	1000	1051	300
FBshenxiaodian1	1	2	1011	3700	1021	3000	1031	2000	1041	1000	1051	300
FBshenxiaodian1	2	0	1012	3700	1022	3000	1032	2000	1042	1000	1052	300
FBshenxiaodian1	2	1	1012	3700	1022	3000	1032	2000	1042	1000	1052	300
FBshenxiaodian1	2	2	1012	3700	1022	3000	1032	2000	1042	1000	1052	300
FBshenxiaodian1	3	0	1013	3700	1023	3000	1033	2000	1043	1000	1053	300
FBshenxiaodian1	3	1	1013	3700	1023	3000	1033	2000	1043	1000	1053	300
FBshenxiaodian1	3	2	1013	3700	1023	3000	1033	2000	1043	1000	1053	300
FBshenxiaodian1	4	0	1014	3700	1024	3000	1034	2000	1044	1000	1054	300
FBshenxiaodian1	4	1	1014	3700	1024	3000	1034	2000	1044	1000	1054	300
FBshenxiaodian1	4	2	1014	3700	1024	3000	1034	2000	1044	1000	1054	300
FBshenxiaodian1	5	0	1015	3700	1025	3000	1035	2000	1045	1000	1055	300
FBshenxiaodian1	5	1	1015	3700	1025	3000	1035	2000	1045	1000	1055	300
FBshenxiaodian1	5	2	1015	3700	1025	3000	1035	2000	1045	1000	1055	300
FBshenxiaodian1	6	0	1016	3700	1026	3000	1036	2000	1046	1000	1056	300
FBshenxiaodian1	6	1	1016	3700	1026	3000	1036	2000	1046	1000	1056	300
FBshenxiaodian1	6	2	1016	3700	1026	3000	1036	2000	1046	1000	1056	300
FBqingxiaodian2	1	0	2011	3700	2021	3000	2031	2000	2041	1000	2051	300
FBqingxiaodian2	1	1	2011	3700	2021	3000	2031	2000	2041	1000	2051	300
FBqingxiaodian2	1	2	2011	3700	2021	3000	2031	2000	2041	1000	2051	300
FBqingxiaodian2	2	0	2012	3700	2022	3000	2032	2000	2042	1000	2052	300
FBqingxiaodian2	2	1	2012	3700	2022	3000	2032	2000	2042	1000	2052	300
FBqingxiaodian2	2	2	2012	3700	2022	3000	2032	2000	2042	1000	2052	300
FBqingxiaodian2	3	0	2013	3700	2023	3000	2033	2000	2043	1000	2053	300
FBqingxiaodian2	3	1	2013	3700	2023	3000	2033	2000	2043	1000	2053	300
FBqingxiaodian2	3	2	2013	3700	2023	3000	2033	2000	2043	1000	2053	300
FBqingxiaodian2	4	0	2014	3700	2024	3000	2034	2000	2044	1000	2054	300
FBqingxiaodian2	4	1	2014	3700	2024	3000	2034	2000	2044	1000	2054	300
FBqingxiaodian2	4	2	2014	3700	2024	3000	2034	2000	2044	1000	2054	300
FBqingxiaodian2	5	0	2015	3700	2025	3000	2035	2000	2045	1000	2055	300
FBqingxiaodian2	5	1	2015	3700	2025	3000	2035	2000	2045	1000	2055	300
FBqingxiaodian2	5	2	2015	3700	2025	3000	2035	2000	2045	1000	2055	300
FBqingxiaodian2	6	0	2016	3700	2026	3000	2036	2000	2046	1000	2056	300
FBqingxiaodian2	6	1	2016	3700	2026	3000	2036	2000	2046	1000	2056	300
FBqingxiaodian2	6	2	2016	3700	2026	3000	2036	2000	2046	1000	2056	300
FBbixiaodian3	1	0	3011	3700	3021	3000	3031	2000	3041	1000	3051	300
FBbixiaodian3	1	1	3011	3700	3021	3000	3031	2000	3041	1000	3051	300
FBbixiaodian3	1	2	3011	3700	3021	3000	3031	2000	3041	1000	3051	300
FBbixiaodian3	2	0	3012	3700	3022	3000	3032	2000	3042	1000	3052	300
FBbixiaodian3	2	1	3012	3700	3022	3000	3032	2000	3042	1000	3052	300
FBbixiaodian3	2	2	3012	3700	3022	3000	3032	2000	3042	1000	3052	300
FBbixiaodian3	3	0	3013	3700	3023	3000	3033	2000	3043	1000	3053	300
FBbixiaodian3	3	1	3013	3700	3023	3000	3033	2000	3043	1000	3053	300
FBbixiaodian3	3	2	3013	3700	3023	3000	3033	2000	3043	1000	3053	300
FBbixiaodian3	4	0	3014	3700	3024	3000	3034	2000	3044	1000	3054	300
FBbixiaodian3	4	1	3014	3700	3024	3000	3034	2000	3044	1000	3054	300
FBbixiaodian3	4	2	3014	3700	3024	3000	3034	2000	3044	1000	3054	300
FBbixiaodian3	5	0	3015	3700	3025	3000	3035	2000	3045	1000	3055	300
FBbixiaodian3	5	1	3015	3700	3025	3000	3035	2000	3045	1000	3055	300
FBbixiaodian3	5	2	3015	3700	3025	3000	3035	2000	3045	1000	3055	300
FBbixiaodian3	6	0	3016	3700	3026	3000	3036	2000	3046	1000	3056	300
FBbixiaodian3	6	1	3016	3700	3026	3000	3036	2000	3046	1000	3056	300
FBbixiaodian3	6	2	3016	3700	3026	3000	3036	2000	3046	1000	3056	300
FBdanxiaodian4	1	0	4011	3700	4021	3000	4031	2000	4041	1000	4051	300
FBdanxiaodian4	1	1	4011	3700	4021	3000	4031	2000	4041	1000	4051	300
FBdanxiaodian4	1	2	4011	3700	4021	3000	4031	2000	4041	1000	4051	300
FBdanxiaodian4	2	0	4012	3700	4022	3000	4032	2000	4042	1000	4052	300
FBdanxiaodian4	2	1	4012	3700	4022	3000	4032	2000	4042	1000	4052	300
FBdanxiaodian4	2	2	4012	3700	4022	3000	4032	2000	4042	1000	4052	300
FBdanxiaodian4	3	0	4013	3700	4023	3000	4033	2000	4043	1000	4053	300
FBdanxiaodian4	3	1	4013	3700	4023	3000	4033	2000	4043	1000	4053	300
FBdanxiaodian4	3	2	4013	3700	4023	3000	4033	2000	4043	1000	4053	300
FBdanxiaodian4	4	0	4014	3700	4024	3000	4034	2000	4044	1000	4054	300
FBdanxiaodian4	4	1	4014	3700	4024	3000	4034	2000	4044	1000	4054	300
FBdanxiaodian4	4	2	4014	3700	4024	3000	4034	2000	4044	1000	4054	300
FBdanxiaodian4	5	0	4015	3700	4025	3000	4035	2000	4045	1000	4055	300
FBdanxiaodian4	5	1	4015	3700	4025	3000	4035	2000	4045	1000	4055	300
FBdanxiaodian4	5	2	4015	3700	4025	3000	4035	2000	4045	1000	4055	300
FBdanxiaodian4	6	0	4016	3700	4026	3000	4036	2000	4046	1000	4056	300
FBdanxiaodian4	6	1	4016	3700	4026	3000	4036	2000	4046	1000	4056	300
FBdanxiaodian4	6	2	4016	3700	4026	3000	4036	2000	4046	1000	4056	300
FBjingxiaodian5	1	0	5011	3700	5021	3000	5031	2000	5041	1000	5051	300
FBjingxiaodian5	1	1	5011	3700	5021	3000	5031	2000	5041	1000	5051	300
FBjingxiaodian5	1	2	5011	3700	5021	3000	5031	2000	5041	1000	5051	300
FBjingxiaodian5	2	0	5012	3700	5022	3000	5032	2000	5042	1000	5052	300
FBjingxiaodian5	2	1	5012	3700	5022	3000	5032	2000	5042	1000	5052	300
FBjingxiaodian5	2	2	5012	3700	5022	3000	5032	2000	5042	1000	5052	300
FBjingxiaodian5	3	0	5013	3700	5023	3000	5033	2000	5043	1000	5053	300
FBjingxiaodian5	3	1	5013	3700	5023	3000	5033	2000	5043	1000	5053	300
FBjingxiaodian5	3	2	5013	3700	5023	3000	5033	2000	5043	1000	5053	300
FBjingxiaodian5	4	0	5014	3700	5024	3000	5034	2000	5044	1000	5054	300
FBjingxiaodian5	4	1	5014	3700	5024	3000	5034	2000	5044	1000	5054	300
FBjingxiaodian5	4	2	5014	3700	5024	3000	5034	2000	5044	1000	5054	300
FBjingxiaodian5	5	0	5015	3700	5025	3000	5035	2000	5045	1000	5055	300
FBjingxiaodian5	5	1	5015	3700	5025	3000	5035	2000	5045	1000	5055	300
FBjingxiaodian5	5	2	5015	3700	5025	3000	5035	2000	5045	1000	5055	300
FBjingxiaodian5	6	0	5016	3700	5026	3000	5036	2000	5046	1000	5056	300
FBjingxiaodian5	6	1	5016	3700	5026	3000	5036	2000	5046	1000	5056	300
FBjingxiaodian5	6	2	5016	3700	5026	3000	5036	2000	5046	1000	5056	300
FByuxiaodian6	1	0	6011	3700	6021	3000	6031	2000	6041	1000	6051	300
FByuxiaodian6	1	1	6011	3700	6021	3000	6031	2000	6041	1000	6051	300
FByuxiaodian6	1	2	6011	3700	6021	3000	6031	2000	6041	1000	6051	300
FByuxiaodian6	2	0	6012	3700	6022	3000	6032	2000	6042	1000	6052	300
FByuxiaodian6	2	1	6012	3700	6022	3000	6032	2000	6042	1000	6052	300
FByuxiaodian6	2	2	6012	3700	6022	3000	6032	2000	6042	1000	6052	300
FByuxiaodian6	3	0	6013	3700	6023	3000	6033	2000	6043	1000	6053	300
FByuxiaodian6	3	1	6013	3700	6023	3000	6033	2000	6043	1000	6053	300
FByuxiaodian6	3	2	6013	3700	6023	3000	6033	2000	6043	1000	6053	300
FByuxiaodian6	4	0	6014	3700	6024	3000	6034	2000	6044	1000	6054	300
FByuxiaodian6	4	1	6014	3700	6024	3000	6034	2000	6044	1000	6054	300
FByuxiaodian6	4	2	6014	3700	6024	3000	6034	2000	6044	1000	6054	300
FByuxiaodian6	5	0	6015	3700	6025	3000	6035	2000	6045	1000	6055	300
FByuxiaodian6	5	1	6015	3700	6025	3000	6035	2000	6045	1000	6055	300
FByuxiaodian6	5	2	6015	3700	6025	3000	6035	2000	6045	1000	6055	300
FByuxiaodian6	6	0	6016	3700	6026	3000	6036	2000	6046	1000	6056	300
FByuxiaodian6	6	1	6016	3700	6026	3000	6036	2000	6046	1000	6056	300
FByuxiaodian6	6	2	6016	3700	6026	3000	6036	2000	6046	1000	6056	300
