groupId	itemId1	num1	weight1	bindType1	itemId2	num2	weight2	bindType2	itemId3	num3	weight3	bindType3	itemId4	num4	weight4	bindType4	itemId5	num5	weight5	bindType5	itemId6	num6	weight6	bindType6	itemId7	num7	weight7	bindType7	itemId8	num8	weight8	bindType8	itemId9	num9	weight9	bindType9	itemId10	num10	weight10	bindType10	itemId11	num11	weight11	bindType11	itemId12	num12	weight12	bindType12
掉落组id	掉落物品ID1	数量1	权重1	绑定类型	掉落物品ID2	数量2	权重2	绑定类型	掉落物品ID3	数量3	权重3	绑定类型	掉落物品ID4	数量4	权重4	绑定类型	掉落物品ID5	数量5	权重5	绑定类型	掉落物品ID6	数量6	权重6	绑定类型	掉落物品ID7	数量7	权重7	绑定类型	掉落物品ID8	数量8	权重8	绑定类型	掉落物品ID9	数量9	权重9	绑定类型	掉落物品ID10	数量10	权重10	绑定类型	掉落物品ID11	数量11	权重11	绑定类型	掉落物品ID12	数量12	权重12	绑定类型
100101	71001	1	250	1	71073	1	250	1	71001	2	250	1	71073	2	250	1																																
100201	71001	1	250	1	71073	1	250	1	71001	2	250	1	71073	2	250	1																																
100301	71001	1	250	1	71073	1	250	1	71001	2	250	1	71073	2	250	1																																
100401	71001	1	250	1	71073	1	250	1	71001	2	250	1	71073	2	250	1																																
100501	71001	1	250	1	71073	1	250	1																																								
100601	71001	1	250	1	71073	1	250	1																																								
100701	71001	1	250	1	71073	1	250	1																																								
100801	71001	1	250	1	71073	1	250	1																																								
100901	71001	1	250	1	71073	1	250	1																																								
101001	71001	1	250	1	71073	1	250	1																																								
101101	71001	1	250	1	71073	1	250	1																																								
101201	71001	1	250	1	71073	1	250	1																																								
101301	71001	1	250	1	71073	1	250	1																																								
																																																
100102	71004	1	1	1																																												
100202	71004	1	1	1																																												
100302	71004	1	1	0																																												
100402	71004	1	1	0																																												
100502	71004	1	1	0																																												
100602	71004	1	1	0																																												
100702	71004	1	1	0																																												
100802	71004	1	1	0																																												
100902	71004	1	1	0																																												
101002	71004	1	1	0																																												
101102	71004	1	1	0																																												
101202	71004	1	1	0																																												
101302	71004	1	1	0																																												
																																																
102701	71001	1	63	1	71002	1	0	1	71003	1	0	1	71073	1	63	1	71004	1	2083	1																												
102801	71001	1	63	1	71002	1	0	1	71003	1	0	1	71073	1	63	1	71004	1	2083	1																												
102901	71001	1	63	0	71002	1	0	0	71003	1	0	0	71073	1	63	0	71004	1	2083	0																												
103001	71001	1	125	0	71002	1	0	0	71003	1	0	0	71073	1	125	0	71004	1	2083	0																												
103101	71001	1	625	0	71002	1	0	0	71003	1	0	0	71073	1	625	0	71004	1	2083	0																												
103201	71001	1	334	0	71002	1	625	0	71003	1	0	0	71073	1	334	0	71004	1	2083	0																												
103301	71001	1	334	0	71002	1	625	0	71003	1	0	0	71073	1	334	0	71004	1	2083	0																												
103401	71001	1	334	0	71002	1	625	0	71003	1	313	0	71073	1	334	0	71004	1	2083	0																												
103501	71001	1	334	0	71002	1	625	0	71003	1	313	0	71073	1	334	0	71004	1	2083	0																												
103601	71001	1	334	0	71002	1	625	0	71003	1	313	0	71073	1	334	0	71004	1	2083	0																												
103701	71001	1	334	0	71002	1	625	0	71003	1	313	0	71073	1	334	0	71004	1	2083	0																												
103801	71001	1	334	0	71002	1	625	0	71003	1	313	0	71073	1	334	0	71004	1	2083	0																												
103901	71001	1	334	0	71002	1	625	0	71003	1	313	0	71073	1	334	0	71004	1	2083	0																												
																																																
104001	72001	1	1	0	71004	1	3	0																																								
104101	9019	1	1	0																																												
104102	72001	1	1	0																																												
104201	9170	2	10	0	9171	2	3	0	9172	1	1	0																																				
104202	9170	2	10	0	9171	2	3	0	9172	1	1	0																																				
104203	71005	2	2	0	71005	5	2	0	71005	10	2	0																																				
104204	71005	2	2	0	71005	5	2	0	71005	10	2	0																																				
104205	72001	2	2	0	72001	5	2	0	72001	10	2	0																																				
104206	72001	2	2	0	72001	5	2	0	72001	10	2	0																																				
104207	200038	1	1	1																																												
																																																
104301	71001	1	625	1	71002	1	0	1	71003	1	0	1	72001	1	500	1	71004	2	1667	1	71073	1	625	1	73912	3	1667	1																				
104401	71001	1	313	1	71002	1	0	1	71003	1	0	1	72001	1	333	1	71004	1	1667	1	71073	1	313	1	73912	1	3333	1																				
104501	71001	1	313	1	71002	1	0	1	71003	1	0	1	72001	1	417	1	71004	1	1667	1	71073	1	313	1	73912	1	4167	1																				
104601	71001	1	234	1	71002	1	0	1	71003	1	0	1	72001	1	375	1	71004	1	1250	1	71073	1	234	1	73912	1	3750	1																				
104701	71001	1	1875	1	71002	1	0	1	71003	1	0	1	72001	2	1750	1	71004	6	1667	1	71073	1	1875	1	73912	12	2333	1																				
104801	71001	1	234	1	71002	1	0	1	71003	1	0	1	72001	1	469	1	71004	1	1250	1	71073	1	234	1	73912	1	4688	1																				
104901	71001	1	268	1	71002	1	0	1	71003	1	0	1	72001	1	536	1	71004	1	1429	1	71073	1	268	1	73912	1	5357	1																				
105001	71001	1	208	1	71002	1	0	1	71003	1	0	1	72001	1	417	1	71004	1	1111	1	71073	1	208	1	73912	1	4167	1																				
105101	71001	1	208	0	71002	1	0	0	71003	1	0	0	72001	1	417	0	71004	1	1111	0	71073	1	208	0	73912	1	4167	1																				
105201	71001	1	268	0	71002	1	357	0	71003	1	0	0	72001	1	536	0	71004	1	1429	0	71073	1	268	0	73912	1	5357	1																				
105301	71001	1	188	0	71002	1	250	0	71003	1	0	0	72001	1	375	0	71004	1	1000	0	71073	1	188	0	73912	1	3750	1																				
105401	71001	1	268	0	71002	1	357	0	71003	1	0	0	72001	1	536	0	71004	1	1429	0	71073	1	268	0	73912	1	5357	1																				
105501	71001	1	268	0	71002	1	357	0	71003	1	357	0	72001	1	536	0	71004	1	1429	0	71073	1	268	0	73912	1	5357	1																				
105601	71001	1	156	0	71002	1	208	0	71003	1	208	0	72001	1	313	0	71004	1	833	0	71073	1	156	0	73912	1	3125	1																				
105701	71001	1	268	0	71002	1	357	0	71003	1	357	0	72001	1	536	0	71004	1	1429	0	71073	1	268	0	73912	1	5357	1																				
105801	71001	1	375	0	71002	1	500	0	71003	1	500	0	72001	1	750	0	71004	1	2000	0	71073	1	375	0	73912	2	3750	1																				
105901	71001	1	375	0	71002	1	500	0	71003	1	500	0	72001	1	750	0	71004	1	2000	0	71073	1	375	0	73912	2	3750	1																				
106001	71001	1	375	0	71002	1	500	0	71003	1	500	0	72001	1	750	0	71004	1	2000	0	71073	1	375	0	73912	2	3750	1																				
106101	71001	1	375	0	71002	1	500	0	71003	1	500	0	72001	1	750	0	71004	1	2000	0	71073	1	375	0	73912	2	3750	1																				
106201	71001	2	938	0	71002	2	1250	0	71003	2	1250	0	72001	2	1875	0	71004	10	1000	0	71073	2	938	0	73912	20	1875	1																				
																																																
																																																
																																																
106301	72004	1	3	0	72005	1	1	0																																								
106302	72001	1	3	0	72002	1	1	0																																								
106303	71005	2	1	0																																												
106304	70031	1	3	0	70032	1	1	0																																								
106305	70061	1	3	0	70062	1	1	0																																								
106306	71007	1	1	0																																												
106307	6300500	1	1	0	6300501	1	1	0	6300502	1	1	0	6300503	1	1	0	6300504	1	1	0																												
106308	6301500	1	1	0	6301501	1	1	0	6301502	1	1	0	6301503	1	1	0	6301504	1	1	0																												
106309	6302500	1	1	0	6302501	1	1	0	6302502	1	1	0	6302503	1	1	0	6302504	1	1	0																												
106401	70001	10	3	0	70002	5	1	0																																								
106402	70031	2	1	0	70061	2	1	0																																								
106403	70012	2	9	0	70013	1	6	0																																								
106501	70001	1	80	0	70002	1	18	0	70031	1	1	0	70061	1	1	0																																
106601	70001	1	9	0	70002	1	1	0																																								
106701	70001	1	39	0	70002	1	10	0	70012	1	1	0																																				
																																																
																																																
106801	72004	1	1	0																																												
106802	72001	1	1	0																																												
106803	71005	1	1	0																																												
106804	70031	1	1	0																																												
106805	70061	1	1	0																																												
106806	71007	1	1	0																																												
106807	6300507	1	1	0	6300505	1	1	0	6300509	1	1	0																																				
106808	6301507	1	1	0	6301505	1	1	0	6301509	1	1	0																																				
106809	6302507	1	1	0	6302505	1	1	0	6302509	1	1	0																																				
																																																
106901	72004	1	1	0																																												
106902	72001	2	1	0																																												
106903	71005	2	1	0																																												
106904	70012	2	1	0																																												
106905	70061	2	1	0																																												
106906	71007	2	1	0																																												
106907	70012	1	1	0	70021	1	1	0																																								
106908	6300507	1	1	0	6300505	1	1	0	6300509	1	1	0																																				
106909	6301507	1	1	0	6301505	1	1	0	6301509	1	1	0																																				
