skillId	skillLevel	money	contribute	roleLevel	buildId	buildLevel
技能ID	技能等级	消耗的钱	消耗的贡献度	角色等级	建筑ID	建筑等级
14001	1	1000	100	25	3	1
14001	2	1000	110	25	3	1
14001	3	1000	120	25	3	1
14001	4	1000	130	25	3	1
14001	5	1000	140	25	3	1
14001	6	1000	150	30	3	2
14001	7	1000	160	30	3	2
14001	8	1000	170	30	3	2
14001	9	1000	180	30	3	2
14001	10	1000	190	30	3	2
14001	11	2000	200	35	3	3
14001	12	2000	210	35	3	3
14001	13	2000	220	35	3	3
14001	14	2000	230	35	3	3
14001	15	2000	240	35	3	3
14001	16	2000	250	40	3	4
14001	17	2000	260	40	3	4
14001	18	2000	270	40	3	4
14001	19	2000	280	40	3	4
14001	20	2000	290	40	3	4
14001	21	4000	300	45	3	5
14001	22	4000	310	45	3	5
14001	23	4000	320	45	3	5
14001	24	4000	330	45	3	5
14001	25	4000	340	45	3	5
14001	26	4000	350	50	3	6
14001	27	4000	360	50	3	6
14001	28	4000	370	50	3	6
14001	29	4000	380	50	3	6
14001	30	4000	390	50	3	6
14001	31	6000	400	50	3	7
14001	32	6000	410	50	3	7
14001	33	6000	420	50	3	7
14001	34	6000	430	50	3	7
14001	35	6000	440	50	3	7
14001	36	6000	450	50	3	8
14001	37	6000	460	50	3	8
14001	38	6000	470	50	3	8
14001	39	6000	480	50	3	8
14001	40	6000	490	50	3	8
14001	41	10000	500	50	3	9
14001	42	10000	510	50	3	9
14001	43	10000	520	50	3	9
14001	44	10000	530	50	3	9
14001	45	10000	540	50	3	9
14001	46	10000	550	50	3	10
14001	47	10000	560	50	3	10
14001	48	10000	570	50	3	10
14001	49	10000	580	50	3	10
14001	50	10000	590	50	3	10
14001	50	10000	590	50	3	11
14001	50	10000	590	50	3	12
14001	50	10000	590	50	3	13
14001	50	10000	590	50	3	14
14001	50	10000	590	50	3	15
14001	50	10000	590	50	3	16
14002	1	1000	100	25	3	2
14002	2	1000	110	25	3	2
14002	3	1000	120	25	3	2
14002	4	1000	130	25	3	2
14002	5	1000	140	25	3	2
14002	6	1000	150	30	3	3
14002	7	1000	160	30	3	3
14002	8	1000	170	30	3	3
14002	9	1000	180	30	3	3
14002	10	1000	190	30	3	3
14002	11	2000	200	35	3	4
14002	12	2000	210	35	3	4
14002	13	2000	220	35	3	4
14002	14	2000	230	35	3	4
14002	15	2000	240	35	3	4
14002	16	2000	250	40	3	5
14002	17	2000	260	40	3	5
14002	18	2000	270	40	3	5
14002	19	2000	280	40	3	5
14002	20	2000	290	40	3	5
14002	21	4000	300	45	3	6
14002	22	4000	310	45	3	6
14002	23	4000	320	45	3	6
14002	24	4000	330	45	3	6
14002	25	4000	340	45	3	6
14002	26	4000	350	50	3	7
14002	27	4000	360	50	3	7
14002	28	4000	370	50	3	7
14002	29	4000	380	50	3	7
14002	30	4000	390	50	3	7
14002	31	6000	400	50	3	8
14002	32	6000	410	50	3	8
14002	33	6000	420	50	3	8
14002	34	6000	430	50	3	8
14002	35	6000	440	50	3	8
14002	36	6000	450	50	3	9
14002	37	6000	460	50	3	9
14002	38	6000	470	50	3	9
14002	39	6000	480	50	3	9
14002	40	6000	490	50	3	9
14002	41	10000	500	50	3	10
14002	42	10000	510	50	3	10
14002	43	10000	520	50	3	10
14002	44	10000	530	50	3	10
14002	45	10000	540	50	3	10
14002	46	10000	550	50	3	11
14002	47	10000	560	50	3	11
14002	48	10000	570	50	3	11
14002	49	10000	580	50	3	11
14002	50	10000	590	50	3	11
14002	50	10000	590	50	3	12
14002	50	10000	590	50	3	13
14002	50	10000	590	50	3	14
14002	50	10000	590	50	3	15
14002	50	10000	590	50	3	16
14003	1	1000	100	25	3	3
14003	2	1000	110	25	3	3
14003	3	1000	120	25	3	3
14003	4	1000	130	25	3	3
14003	5	1000	140	25	3	3
14003	6	1000	150	30	3	4
14003	7	1000	160	30	3	4
14003	8	1000	170	30	3	4
14003	9	1000	180	30	3	4
14003	10	1000	190	30	3	4
14003	11	2000	200	35	3	5
14003	12	2000	210	35	3	5
14003	13	2000	220	35	3	5
14003	14	2000	230	35	3	5
14003	15	2000	240	35	3	5
14003	16	2000	250	40	3	6
14003	17	2000	260	40	3	6
14003	18	2000	270	40	3	6
14003	19	2000	280	40	3	6
14003	20	2000	290	40	3	6
14003	21	4000	300	45	3	7
14003	22	4000	310	45	3	7
14003	23	4000	320	45	3	7
14003	24	4000	330	45	3	7
14003	25	4000	340	45	3	7
14003	26	4000	350	50	3	8
14003	27	4000	360	50	3	8
14003	28	4000	370	50	3	8
14003	29	4000	380	50	3	8
14003	30	4000	390	50	3	8
14003	31	6000	400	50	3	9
14003	32	6000	410	50	3	9
14003	33	6000	420	50	3	9
14003	34	6000	430	50	3	9
14003	35	6000	440	50	3	9
14003	36	6000	450	50	3	10
14003	37	6000	460	50	3	10
14003	38	6000	470	50	3	10
14003	39	6000	480	50	3	10
14003	40	6000	490	50	3	10
14003	41	10000	500	50	3	11
14003	42	10000	510	50	3	11
14003	43	10000	520	50	3	11
14003	44	10000	530	50	3	11
14003	45	10000	540	50	3	11
14003	46	10000	550	50	3	12
14003	47	10000	560	50	3	12
14003	48	10000	570	50	3	12
14003	49	10000	580	50	3	12
14003	50	10000	590	50	3	12
14003	50	10000	590	50	3	13
14003	50	10000	590	50	3	14
14003	50	10000	590	50	3	15
14003	50	10000	590	50	3	16
14004	1	1000	100	25	3	4
14004	2	1000	110	25	3	4
14004	3	1000	120	25	3	4
14004	4	1000	130	25	3	4
14004	5	1000	140	25	3	4
14004	6	1000	150	30	3	5
14004	7	1000	160	30	3	5
14004	8	1000	170	30	3	5
14004	9	1000	180	30	3	5
14004	10	1000	190	30	3	5
14004	11	2000	200	35	3	6
14004	12	2000	210	35	3	6
14004	13	2000	220	35	3	6
14004	14	2000	230	35	3	6
14004	15	2000	240	35	3	6
14004	16	2000	250	40	3	7
14004	17	2000	260	40	3	7
14004	18	2000	270	40	3	7
14004	19	2000	280	40	3	7
14004	20	2000	290	40	3	7
14004	21	4000	300	45	3	8
14004	22	4000	310	45	3	8
14004	23	4000	320	45	3	8
