minLevel	maxLevel	minRank	maxRank	exp	magicSoul	totalMagicSoul	money	goodsId	goodsNum	bindType	showGoodsId
等级下限	等级上限	开始名次	结束名次	经验值	仙魂	声望	奖励的钱	奖励物品ID	奖励物品数目	绑定类型	奖励物品ID
1	39	1	1					9173	1	1	73914
1	39	2	2					9174	1	1	73915
1	39	3	3					9175	1	1	73916
1	39	4	4					9176	1	1	73917
1	39	5	5					9176	1	1	73917
1	39	6	6					9176	1	1	73917
1	39	7	7					9176	1	1	73917
1	39	8	8					9176	1	1	73917
1	39	9	9					9176	1	1	73917
1	39	10	10					9176	1	1	73917
1	39	11	11					9177	1	1	73918
1	39	12	12					9177	1	1	73918
1	39	13	13					9177	1	1	73918
1	39	14	14					9177	1	1	73918
1	39	15	15					9177	1	1	73918
1	39	16	16					9177	1	1	73918
1	39	17	17					9177	1	1	73918
1	39	18	18					9177	1	1	73918
1	39	19	19					9177	1	1	73918
1	39	20	20					9177	1	1	73918
1	39	21	21					9178	1	1	73919
1	39	22	22					9178	1	1	73919
1	39	23	23					9178	1	1	73919
1	39	24	24					9178	1	1	73919
1	39	25	25					9178	1	1	73919
1	39	26	26					9178	1	1	73919
1	39	27	27					9178	1	1	73919
1	39	28	28					9178	1	1	73919
1	39	29	29					9178	1	1	73919
1	39	30	30					9178	1	1	73919
1	39	31	31					9178	1	1	73919
1	39	32	32					9178	1	1	73919
1	39	33	33					9178	1	1	73919
1	39	34	34					9178	1	1	73919
1	39	35	35					9178	1	1	73919
1	39	36	36					9178	1	1	73919
1	39	37	37					9178	1	1	73919
1	39	38	38					9178	1	1	73919
1	39	39	39					9178	1	1	73919
1	39	40	40					9178	1	1	73919
1	39	41	41					9178	1	1	73919
1	39	42	42					9178	1	1	73919
1	39	43	43					9178	1	1	73919
1	39	44	44					9178	1	1	73919
1	39	45	45					9178	1	1	73919
1	39	46	46					9178	1	1	73919
1	39	47	47					9178	1	1	73919
1	39	48	48					9178	1	1	73919
1	39	49	49					9178	1	1	73919
1	39	50	50					9178	1	1	73919
1	39	51	51					9179	1	1	73920
1	39	52	52					9179	1	1	73920
1	39	53	53					9179	1	1	73920
1	39	54	54					9179	1	1	73920
1	39	55	55					9179	1	1	73920
1	39	56	56					9179	1	1	73920
1	39	57	57					9179	1	1	73920
1	39	58	58					9179	1	1	73920
1	39	59	59					9179	1	1	73920
1	39	60	60					9179	1	1	73920
1	39	61	61					9179	1	1	73920
1	39	62	62					9179	1	1	73920
1	39	63	63					9179	1	1	73920
1	39	64	64					9179	1	1	73920
1	39	65	65					9179	1	1	73920
1	39	66	66					9179	1	1	73920
1	39	67	67					9179	1	1	73920
1	39	68	68					9179	1	1	73920
1	39	69	69					9179	1	1	73920
1	39	70	70					9179	1	1	73920
1	39	71	71					9179	1	1	73920
1	39	72	72					9179	1	1	73920
1	39	73	73					9179	1	1	73920
1	39	74	74					9179	1	1	73920
1	39	75	75					9179	1	1	73920
1	39	76	76					9179	1	1	73920
1	39	77	77					9179	1	1	73920
1	39	78	78					9179	1	1	73920
1	39	79	79					9179	1	1	73920
