groupId	ruleId1	weight1	ruleId2	weight2	ruleId3	weight3	ruleId4	weight4	ruleId5	weight5
组ID	规则1	权重1	规则2	权重2	规则3	权重3	规则4	权重4	规则5	权重5
1001	1	1								
1008	1008	1								
1009	1009	1								
1010	1010	1								
1011	1011	1								
1012	1012	1								
1013	1013	1								
1014	1014	1								
1015	1015	1								
1016	1016	1								
1017	1017	1								
1018	1018	1								
1019	1019	1								
1020	1020	1								
1021	1021	1								
1022	1022	1								
1023	1023	1								
1024	1024	1								
1025	1025	1								
1026	1026	1								
1027	1027	1								
1028	1028	1								
1029	1029	1								
1030	1030	1								
1031	1031	1								
1032	1032	1								
1033	1033	1								
1034	1034	1								
1035	1035	1								
1036	1036	1								
1037	1037	1								
1038	1038	1								
1039	1039	1								
1040	1040	1								
1041	1041	1								
1042	1042	1								
1043	1043	1								
1044	1044	1								
1045	1045	1								
1046	1046	1								
1047	1047	1								
1048	1048	1								
1049	1049	1								
1050	1050	1								
1051	1051	1								
1052	1052	1								
1053	1053	1								
1054	1054	1								
1055	1055	1								
1056	2	1								
1057	105701	1								
1058	105801	1								
1059	105901	1								
1060	106001	1								
1061	106101	1								
1062	106201	1								
1063	106301	1								
1064	106401	1								
1065	106501	1								
1066	106601	1								
1067	106701	1								
1068	106801	1								
1069	106901	1								
1070	107001	1								
1071	107101	1								
1072	107201	1								
1073	107301	1								
1074	107401	1								
1075	107501	1								
1076	107601	1								
1077	107701	1								
1078	107801	1								
1079	107901	1								
1080	108001	1								
1081	108101	1								
1082	108201	1								
1083	108301	1								
1084	108401	1								
1085	108501	1								
1086	108601	1								
1087	108701	1								
1088	108801	1								
1089	108901	1								
1090	109001	1								
1091	109101	1								
1092	109201	1								
1093	109301	1								
1094	109401	1								
1095	109501	1								
1096	109601	1								
1097	109701	1								
1098	109801	1								
1099	109901	1								
1100	110001	1								
1101	110101	1								
1102	110201	1								
1103	110301	1								
1104	110401	1								
1105	110501	1								
1106	110601	1								
1107	110701	1								
1108	110801	1								
1109	110901	1								
1110	111001	1								
1111	111101	1								
1112	111201	1								
1113	111301	1								
1114	111401	1								
1115	111501	1								
1116	111601	1								
1117	111701	1								
1118	111801	1								
1119	111901	1								
1120	112001	1								
1121	112101	1								
1122	112201	1								
1123	112301	1								
1124	112401	1								
1125	112501	1								
1126	112601	1								
1127	112701	1								
1128	112801	1								
1129	112901	1								
1130	113001	1								
1131	113101	1								
1132	113201	1								
1133	113301	1								
1134	113401	1								
1135	113501	1								
1136	113601	1								
1137	113701	1								
1138	113801	1								
1139	113901	1								
1140	114001	1								
1141	114101	1								
1142	114201	1								
1143	114301	1								
1144	114401	1								
1145	114501	1								
1146	114601	1								
1147	114701	1								
1148	114801	1								
