buffId	name	level	iconId	effectId	timeType	categoryType	transNoClean	intervalTime	persistTime	dieLost	offlineLost	offlineTiming	beingType	groupId	replaceType	notReplaceDesc	hatredPercent	hatredAdd	hurtType	desc
BUFF序号	BUFF名称	等级	图标ID	效果ID	buff时间类型\n[0单次|1持久]	buff分类\n[0 buff 1 debuff]	变身是否不清除\n[0 清除|1 不清除 ]	间隔时间\n（毫秒）	持续时间\n（毫秒）	死亡后是否消失	下线后是否消失	下线是否计时	buff类型	互斥组	替换类型	替换不能时说明\n[string]	伤血造成仇恨百分比	获得造成仇恨值	抗性类型	BUFF说明
1000	减速	1	2	703	1	1	1		3000	1	1	0	0	1000	1		10000	1	4	目标受到减速效果，在3秒内移动速度降低80%。
1000	减速	2	2	703	1	1	1		3000	1	1	0	0	1000	1		10000	1	4	目标受到减速效果，在3秒内移动速度降低80%。
1000	减速	3	2	703	1	1	1		3000	1	1	0	0	1000	1		10000	1	4	目标受到减速效果，在3秒内移动速度降低80%。
1000	减速	4	2	703	1	1	1		3000	1	1	0	0	1000	1		10000	1	4	目标受到减速效果，在3秒内移动速度降低80%。
1000	减速	5	2	703	1	1	1		3000	1	1	0	0	1000	1		10000	1	4	目标受到减速效果，在3秒内移动速度降低80%。
1000	减速	6	2	703	1	1	1		3000	1	1	0	0	1000	1		10000	1	4	目标受到减速效果，在3秒内移动速度降低80%。
1000	减速	7	2	703	1	1	1		3000	1	1	0	0	1000	1		10000	1	4	目标受到减速效果，在3秒内移动速度降低80%。
1000	减速	8	2	703	1	1	1		3000	1	1	0	0	1000	1		10000	1	4	目标受到减速效果，在3秒内移动速度降低80%。
1000	减速	9	2	703	1	1	1		3000	1	1	0	0	1000	1		10000	1	4	目标受到减速效果，在3秒内移动速度降低80%。
1000	减速	10	2	703	1	1	1		3000	1	1	0	0	1000	1		10000	1	4	目标受到减速效果，在3秒内移动速度降低80%。
1000	减速	11	2	703	1	1	1		3000	1	1	0	0	1000	1		10000	1	4	目标受到减速效果，在3秒内移动速度降低80%。
1000	减速	12	2	703	1	1	1		3000	1	1	0	0	1000	1		10000	1	4	目标受到减速效果，在3秒内移动速度降低80%。
1000	减速	13	2	703	1	1	1		3000	1	1	0	0	1000	1		10000	1	4	目标受到减速效果，在3秒内移动速度降低80%。
1000	减速	14	2	703	1	1	1		3000	1	1	0	0	1000	1		10000	1	4	目标受到减速效果，在3秒内移动速度降低80%。
1000	减速	15	2	703	1	1	1		3000	1	1	0	0	1000	1		10000	1	4	目标受到减速效果，在3秒内移动速度降低80%。
1000	减速	16	2	703	1	1	1		3000	1	1	0	0	1000	1		10000	1	4	目标受到减速效果，在3秒内移动速度降低80%。
1000	减速	17	2	703	1	1	1		3000	1	1	0	0	1000	1		10000	1	4	目标受到减速效果，在3秒内移动速度降低80%。
1000	减速	18	2	703	1	1	1		3000	1	1	0	0	1000	1		10000	1	4	目标受到减速效果，在3秒内移动速度降低80%。
1000	减速	19	2	703	1	1	1		3000	1	1	0	0	1000	1		10000	1	4	目标受到减速效果，在3秒内移动速度降低80%。
1000	减速	20	2	703	1	1	1		3000	1	1	0	0	1000	1		10000	1	4	目标受到减速效果，在3秒内移动速度降低80%。
1001	破甲	1	1	702	1	1	1		3000	1	1	0	0	1001	1		10000	1	5	目标受到破甲效果，在3秒内护甲降低50%。
1001	破甲	2	1	702	1	1	1		3000	1	1	0	0	1001	1		10000	1	5	目标受到破甲效果，在3秒内护甲降低50%。
1001	破甲	3	1	702	1	1	1		3000	1	1	0	0	1001	1		10000	1	5	目标受到破甲效果，在3秒内护甲降低50%。
1001	破甲	4	1	702	1	1	1		3000	1	1	0	0	1001	1		10000	1	5	目标受到破甲效果，在3秒内护甲降低50%。
1001	破甲	5	1	702	1	1	1		3000	1	1	0	0	1001	1		10000	1	5	目标受到破甲效果，在3秒内护甲降低50%。
1001	破甲	6	1	702	1	1	1		3000	1	1	0	0	1001	1		10000	1	5	目标受到破甲效果，在3秒内护甲降低50%。
1001	破甲	7	1	702	1	1	1		3000	1	1	0	0	1001	1		10000	1	5	目标受到破甲效果，在3秒内护甲降低50%。
1001	破甲	8	1	702	1	1	1		3000	1	1	0	0	1001	1		10000	1	5	目标受到破甲效果，在3秒内护甲降低50%。
1001	破甲	9	1	702	1	1	1		3000	1	1	0	0	1001	1		10000	1	5	目标受到破甲效果，在3秒内护甲降低50%。
1001	破甲	10	1	702	1	1	1		3000	1	1	0	0	1001	1		10000	1	5	目标受到破甲效果，在3秒内护甲降低50%。
1001	破甲	11	1	702	1	1	1		3000	1	1	0	0	1001	1		10000	1	5	目标受到破甲效果，在3秒内护甲降低50%。
1001	破甲	12	1	702	1	1	1		3000	1	1	0	0	1001	1		10000	1	5	目标受到破甲效果，在3秒内护甲降低50%。
1001	破甲	13	1	702	1	1	1		3000	1	1	0	0	1001	1		10000	1	5	目标受到破甲效果，在3秒内护甲降低50%。
1001	破甲	14	1	702	1	1	1		3000	1	1	0	0	1001	1		10000	1	5	目标受到破甲效果，在3秒内护甲降低50%。
1001	破甲	15	1	702	1	1	1		3000	1	1	0	0	1001	1		10000	1	5	目标受到破甲效果，在3秒内护甲降低50%。
1001	破甲	16	1	702	1	1	1		3000	1	1	0	0	1001	1		10000	1	5	目标受到破甲效果，在3秒内护甲降低50%。
1001	破甲	17	1	702	1	1	1		3000	1	1	0	0	1001	1		10000	1	5	目标受到破甲效果，在3秒内护甲降低50%。
1001	破甲	18	1	702	1	1	1		3000	1	1	0	0	1001	1		10000	1	5	目标受到破甲效果，在3秒内护甲降低50%。
1001	破甲	19	1	702	1	1	1		3000	1	1	0	0	1001	1		10000	1	5	目标受到破甲效果，在3秒内护甲降低50%。
1001	破甲	20	1	702	1	1	1		3000	1	1	0	0	1001	1		10000	1	5	目标受到破甲效果，在3秒内护甲降低50%。
1002	击飞	1	5	706	1	1	1		1000	1	1	0	0	1002	1		10000	1	8	目标受到击飞效果，在1秒内无法做出任何动作。
1002	击飞	2	5	706	1	1	1		1000	1	1	0	0	1002	1		10000	1	8	目标受到击飞效果，在1秒内无法做出任何动作。
1002	击飞	3	5	706	1	1	1		1000	1	1	0	0	1002	1		10000	1	8	目标受到击飞效果，在1秒内无法做出任何动作。
1002	击飞	4	5	706	1	1	1		1000	1	1	0	0	1002	1		10000	1	8	目标受到击飞效果，在1秒内无法做出任何动作。
