lootId	group1	groupProb1	group2	groupProb2	group3	groupProb3	group4	groupProb4	group5	groupProb5	group6	groupProb6	group7	groupProb7	group8	groupProb8	group9	groupProb9	group10	groupProb10
掉落索引id	掉落组Id1	掉落组几率1	掉落组Id2	掉落组几率2	掉落组Id3	掉落组几率3	掉落组Id4	掉落组几率4	掉落组Id5	掉落组几率5	掉落组Id6	掉落组几率6	掉落组Id7	掉落组几率7	掉落组Id8	掉落组几率8	掉落组Id9	掉落组几率9	掉落组Id10	掉落组几率10
1001	100101	120																		
1002	100201	180	100202	1	100203	8														
1003	100301	180	100302	1	100203	8														
1004	100401	180	100402	1	100203	8														
1005	100501	180	100502	1	100203	8	100303	1												
1006	100601	180	100602	1	100203	8	100303	1												
1007	100701	180	100702	1	100203	8	100303	1												
1008	100801	180	100802	1	100203	8	100303	1												
1009	100901	180	100902	1	100203	8	100303	1												
1010	101001	180	101002	1	100203	8	100303	1												
