skillId	skillLevel	mountLevelMsg	mountLevel	goodsId	goodsNum	gameMoney	incrValue	maxValue	minValue	successRate	normal	cri1	criRate1	cri2	criRate2	cri3	criRate3	broadcast
技能ID	技能级别	升级条件文字描述	坐骑等级需求	升级需要道具ID	升级需要道具数量	升级需要游戏币	每次增加悟性值	悟性值上限	悟性下限\n低于此值成功率为0	悟性超过下限后成功率\n100%=10000	不暴击率	暴击倍数1	暴击几率1	暴击倍数2	暴击几率2	暴击倍数3	暴击几率3	广播
19101	1	一转地狱谛听	1	70051	1	200	10	10	0	10000	10000	2	0	4	0	10	0	[\C]ffffffff[C]玩家[\C]ff1cfffc[C]{0}[\C]ffffffff[C]的坐骑领悟了[\C]ffc7e462[C][{1}][\C]ffffffff[C]技能！
19101	2	一转地狱谛听	1	70051	1	200	10	50	20	10000	10000	2	0	4	0	10	0	
19101	3	一转地狱谛听	1	70051	1	200	10	270	90	10000	10000	2	0	4	0	10	0	
19101	4	二转万象虎	12	70051	1	200	10	350	130	10000	10000	2	0	4	0	10	0	
19101	5	二转万象虎	12	70051	1	200	10	400	160	10000	10000	2	0	4	0	10	0	
19101	6	二转万象虎	12	70051	1	200	10	450	210	5000	10000	2	0	4	0	10	0	
19101	7	三转紫金兽	23	70051	1	200	10	500	250	5000	10000	2	0	4	0	10	0	
19101	8	三转紫金兽	23	70051	1	200	10	600	300	5000	10000	2	0	4	0	10	0	
19101	9	三转紫金兽	23	70051	1	200	10	700	350	5000	10000	2	0	4	0	10	0	
19101	10	四转应龙	34	70051	1	200	10	800	400	5000	10000	2	0	4	0	10	0	
19102	1	二转万象虎	12	70051	1	500	10	400	160	2000	10000	2	0	4	0	10	0	[\C]ffffffff[C]玩家[\C]ff1cfffc[C]{0}[\C]ffffffff[C]的坐骑领悟了[\C]ffc7e462[C][{1}][\C]ffffffff[C]技能！
19102	2	二转万象虎	12	70051	1	500	10	270	90	10000	10000	2	0	4	0	10	0	
19102	3	二转万象虎	12	70051	1	500	10	450	160	10000	10000	2	0	4	0	10	0	
19102	4	三转紫金兽	23	70051	1	500	10	650	260	5000	10000	2	0	4	0	10	0	
19102	5	三转紫金兽	23	70051	1	500	10	800	360	5000	10000	2	0	4	0	10	0	
19102	6	三转紫金兽	23	70051	1	500	10	900	450	2000	10000	2	0	4	0	10	0	
19102	7	四转应龙	34	70051	1	500	10	1100	550	2000	10000	2	0	4	0	10	0	
19102	8	四转应龙	34	70051	1	500	10	1300	650	2000	10000	2	0	4	0	10	0	
19102	9	四转应龙	34	70051	1	500	10	1500	750	2000	10000	2	0	4	0	10	0	
19102	10	五转兔灵	45	70051	1	500	10	1700	850	2000	10000	2	0	4	0	10	0	
19103	1	三转紫金兽	23	70051	1	1000	10	900	450	2000	10000	2	0	4	0	10	0	[\C]ffffffff[C]玩家[\C]ff1cfffc[C]{0}[\C]ffffffff[C]的坐骑领悟了[\C]ffc7e462[C][{1}][\C]ffffffff[C]技能！
19103	2	三转紫金兽	23	70051	1	1000	10	350	130	5000	10000	2	0	4	0	10	0	
19103	3	三转紫金兽	23	70051	1	1000	10	650	260	2000	10000	2	0	4	0	10	0	
19103	4	四转应龙	34	70051	1	1000	10	900	410	2000	10000	2	0	4	0	10	0	
19103	5	四转应龙	34	70051	1	1000	10	1100	550	2000	10000	2	0	4	0	10	0	
19103	6	四转应龙	34	70051	1	1000	10	1250	690	2000	10000	2	0	4	0	10	0	
19103	7	五转兔灵	45	70051	1	1000	10	1400	840	2000	10000	2	0	4	0	10	0	
19103	8	五转兔灵	45	70051	1	1000	10	1550	1010	2000	10000	2	0	4	0	10	0	
19103	9	五转兔灵	45	70051	1	1000	10	1650	1160	2000	10000	2	0	4	0	10	0	
19103	10	六转猫仙	56	70051	1	1000	10	1850	1300	2000	10000	2	0	4	0	10	0	
19104	1	四转应龙	34	70051	1	1500	10	1600	960	2000	10000	2	0	4	0	10	0	[\C]ffffffff[C]玩家[\C]ff1cfffc[C]{0}[\C]ffffffff[C]的坐骑领悟了[\C]ffc7e462[C][{1}][\C]ffffffff[C]技能！
19104	2	四转应龙	34	70051	1	1500	10	400	160	2000	10000	2	0	4	0	10	0	
19104	3	四转应龙	34	70051	1	1500	10	800	360	2000	10000	2	0	4	0	10	0	
19104	4	五转兔灵	45	70051	1	1500	10	1100	550	2000	10000	2	0	4	0	10	0	
19104	5	五转兔灵	45	70051	1	1500	10	1350	750	2000	10000	2	0	4	0	10	0	
19104	6	五转兔灵	45	70051	1	1500	10	1600	960	2000	10000	2	0	4	0	10	0	
19104	7	六转猫仙	56	70051	1	1500	10	1750	1140	2000	10000	2	0	4	0	10	0	
19104	8	六转猫仙	56	70051	1	1500	10	1950	1370	2000	10000	2	0	4	0	10	0	
19104	9	六转猫仙	56	70051	1	1500	10	2200	1540	2000	10000	2	0	4	0	10	0	
19104	10	七转鬼车	67	70051	1	1500	10	2500	1750	2000	10000	2	0	4	0	10	0	
19105	1	五转兔灵	45	70052	1	2000	10	650	460	2000	10000	2	0	4	0	10	0	[\C]ffffffff[C]玩家[\C]ff1cfffc[C]{0}[\C]ffffffff[C]的坐骑领悟了[\C]ffc7e462[C][{1}][\C]ffffffff[C]技能！
19105	2	五转兔灵	45	70052	1	2000	10	180	90	5000	10000	2	0	4	0	10	0	
19105	3	五转兔灵	45	70052	1	2000	10	300	150	2000	10000	2	0	4	0	10	0	
19105	4	六转猫仙	56	70052	1	2000	10	450	250	2000	10000	2	0	4	0	10	0	
19105	5	六转猫仙	56	70052	1	2000	10	600	360	2000	10000	2	0	4	0	10	0	
19105	6	六转猫仙	56	70052	1	2000	10	700	460	2000	10000	2	0	4	0	10	0	
19105	7	七转鬼车	67	70052	1	2000	10	800	560	2000	10000	2	0	4	0	10	0	
19105	8	七转鬼车	67	70052	1	2000	10	950	670	2000	10000	2	0	4	0	10	0	
19105	9	七转鬼车	67	70052	1	2000	10	1050	740	2000	10000	2	0	4	0	10	0	
19105	10	八转鬼金羊	78	70052	1	2000	10	1200	840	2000	10000	2	0	4	0	10	0	
19106	1	六转猫仙	56	70052	1	3000	10	1350	950	2000	10000	2	0	4	0	10	0	[\C]ffffffff[C]玩家[\C]ff1cfffc[C]{0}[\C]ffffffff[C]的坐骑领悟了[\C]ffc7e462[C][{1}][\C]ffffffff[C]技能！
19106	2	六转猫仙	56	70052	1	3000	10	260	130	2000	10000	2	0	4	0	10	0	
19106	3	六转猫仙	56	70052	1	3000	10	450	250	2000	10000	2	0	4	0	10	0	
19106	4	七转鬼车	67	70052	1	3000	10	650	390	2000	10000	2	0	4	0	10	0	
19106	5	七转鬼车	67	70052	1	3000	10	850	560	2000	10000	2	0	4	0	10	0	
19106	6	七转鬼车	67	70052	1	3000	10	1000	700	2000	10000	2	0	4	0	10	0	
19106	7	八转鬼金羊	78	70052	1	3000	10	1200	840	2000	10000	2	0	4	0	10	0	
19106	8	八转鬼金羊	78	70052	1	3000	10	1450	1020	2000	10000	2	0	4	0	10	0	
19106	9	八转鬼金羊	78	70052	1	3000	10	1650	1160	2000	10000	2	0	4	0	10	0	
19106	10	圣兽	89	70052	1	3000	10	1850	1300	2000	10000	2	0	4	0	10	0	
19107	1	七转鬼车	67	70052	1	4000	10	2800	1960	2000	10000	2	0	4	0	10	0	[\C]ffffffff[C]玩家[\C]ff1cfffc[C]{0}[\C]ffffffff[C]的坐骑领悟了[\C]ffc7e462[C][{1}][\C]ffffffff[C]技能！
19107	2	七转鬼车	67	70052	1	4000	10	270	150	2000	10000	2	0	4	0	10	0	
19107	3	七转鬼车	67	70052	1	4000	10	600	360	2000	10000	2	0	4	0	10	0	
19107	4	八转鬼金羊	78	70052	1	4000	10	850	560	2000	10000	2	0	4	0	10	0	
19107	5	八转鬼金羊	78	70052	1	4000	10	1050	740	2000	10000	2	0	4	0	10	0	
19107	6	八转鬼金羊	78	70052	1	4000	10	1350	950	2000	10000	2	0	4	0	10	0	
19107	7	圣兽	89	70052	1	4000	10	1650	1160	2000	10000	2	0	4	0	10	0	
19107	8	圣兽	89	70052	1	4000	10	1950	1370	2000	10000	2	0	4	0	10	0	
19107	9	圣兽	89	70052	1	4000	10	2200	1540	2000	10000	2	0	4	0	10	0	
19107	10	圣兽	89	70052	1	4000	10	2500	1750	2000	10000	2	0	4	0	10	0	
19108	1	八转鬼金羊	78	70052	1	5000	10	2800	1960	2000	10000	2	0	4	0	10	0	[\C]ffffffff[C]玩家[\C]ff1cfffc[C]{0}[\C]ffffffff[C]的坐骑领悟了[\C]ffc7e462[C][{1}][\C]ffffffff[C]技能！
19108	2	八转鬼金羊	78	70052	1	5000	10	400	240	2000	10000	2	0	4	0	10	0	
19108	3	八转鬼金羊	78	70052	1	5000	10	850	560	2000	10000	2	0	4	0	10	0	
19108	4	圣兽	89	70052	1	5000	10	1200	840	2000	10000	2	0	4	0	10	0	
19108	5	圣兽	89	70052	1	5000	10	1650	1160	2000	10000	2	0	4	0	10	0	
19108	6	圣兽	89	70052	1	5000	10	2050	1440	2000	10000	2	0	4	0	10	0	
19108	7	圣兽	89	70052	1	5000	10	2500	1750	2000	10000	2	0	4	0	10	0	
19108	8	圣兽	89	70052	1	5000	10	2950	2070	2000	10000	2	0	4	0	10	0	
19108	9	圣兽	89	70052	1	5000	10	3350	2350	2000	10000	2	0	4	0	10	0	
19108	10	圣兽	89	70052	1	5000	10	3800	2660	2000	10000	2	0	4	0	10	0	
