heroId	heroLevel	atk	rit	maxHp	maxMp
英雄ID	英雄等级	攻击	防御	生命	法力
1000000	1	130	85	1069	486
1000000	2	139	92	1148	522
1000000	3	149	98	1228	558
1000000	4	158	104	1307	594
1000000	5	168	111	1386	630
1000000	6	178	117	1465	666
1000000	7	187	123	1544	702
1000000	8	197	130	1624	738
1000000	9	206	136	1703	774
1000000	10	216	142	1782	810
1000000	11	227	149	1871	851
1000000	12	238	156	1960	891
1000000	13	248	164	2049	932
1000000	14	259	171	2138	972
1000000	15	270	178	2228	1013
1000000	16	281	185	2317	1053
1000000	17	292	192	2406	1094
1000000	18	302	199	2495	1134
1000000	19	313	206	2584	1175
1000000	20	324	213	2673	1215
1000000	21	336	221	2772	1260
1000000	22	348	229	2871	1305
1000000	23	360	237	2970	1350
1000000	24	372	245	3069	1395
1000000	25	384	253	3168	1440
1000000	26	396	261	3267	1485
1000000	27	408	269	3366	1530
1000000	28	420	277	3465	1575
1000000	29	432	284	3564	1620
1000000	30	444	292	3663	1665
1000000	31	457	301	3772	1715
1000000	32	470	310	3881	1764
1000000	33	484	318	3990	1814
1000000	34	497	327	4099	1863
1000000	35	510	336	4208	1913
1000000	36	523	344	4316	1962
1000000	37	536	353	4425	2012
1000000	38	550	362	4534	2061
1000000	39	563	371	4643	2111
1000000	40	576	379	4752	2160
1000000	41	590	389	4871	2214
1000000	42	605	398	4990	2268
1000000	43	619	408	5108	2322
1000000	44	634	417	5227	2376
1000000	45	648	427	5346	2430
1000000	46	662	436	5465	2484
1000000	47	677	446	5584	2538
1000000	48	691	455	5702	2592
1000000	49	706	465	5821	2646
1000000	50	720	474	5940	2700
1000000	51	736	484	6069	2759
1000000	52	751	495	6197	2817
1000000	53	767	505	6326	2876
1000000	54	782	515	6455	2934
1000000	55	798	525	6584	2993
1000000	56	814	536	6712	3051
1000000	57	829	546	6841	3110
1000000	58	845	556	6970	3168
1000000	59	860	566	7098	3227
1000000	60	876	577	7227	3285
1000000	61	893	588	7366	3348
1000000	62	910	599	7504	3411
1000000	63	926	610	7643	3474
1000000	64	943	621	7781	3537
1000000	65	960	632	7920	3600
1000000	66	977	643	8059	3663
1000000	67	994	654	8197	3726
1000000	68	1010	665	8336	3789
1000000	69	1027	676	8474	3852
1000000	70	1044	687	8613	3915
1000000	71	1062	699	8762	3983
1000000	72	1080	711	8910	4050
1000000	73	1098	723	9059	4118
1000000	74	1116	735	9207	4185
1000000	75	1134	747	9356	4253
1000000	76	1152	758	9504	4320
1000000	77	1170	770	9653	4388
1000000	78	1188	782	9801	4455
1000000	79	1206	794	9950	4523
1000000	80	1224	806	10098	4590
1000000	81	1247	821	10286	4676
1000000	82	1270	836	10474	4761
1000000	83	1292	851	10662	4847
1000000	84	1315	866	10850	4932
1000000	85	1338	881	11039	5018
1000000	86	1361	896	11227	5103
1000000	87	1384	911	11415	5189
1000000	88	1406	926	11603	5274
1000000	89	1429	941	11791	5360
1000000	90	1452	956	11979	5445
1000000	91	1480	974	12207	5549
1000000	92	1507	992	12434	5652
1000000	93	1535	1010	12662	5756
1000000	94	1562	1029	12890	5859
1000000	95	1590	1047	13118	5963
1000000	96	1618	1065	13345	6066
1000000	97	1645	1083	13573	6170
1000000	98	1673	1101	13801	6273
1000000	99	1700	1119	14028	6377
1000000	100	1728	1138	14256	6480
1000000	101	1760	1159	14523	6602
1000000	102	1793	1180	14791	6723
1000000	103	1825	1202	15058	6845
1000000	104	1858	1223	15325	6966
1000000	105	1890	1244	15593	7088
1000000	106	1922	1266	15860	7209
1000000	107	1955	1287	16127	7331
1000000	108	1987	1308	16394	7452
1000000	109	2020	1330	16662	7574
1000000	110	2052	1351	16929	7695
1000000	111	2089	1375	17236	7835
1000000	112	2126	1400	17543	7974
1000000	113	2164	1424	17850	8114
1000000	114	2201	1449	18157	8253
1000000	115	2238	1473	18464	8393
1000000	116	2275	1498	18770	8532
1000000	117	2312	1522	19077	8672
1000000	118	2350	1547	19384	8811
1000000	119	2387	1571	19691	8951
1000000	120	2424	1596	19998	9090
1000000	121	2466	1623	20345	9248
1000000	122	2508	1651	20691	9405
1000000	123	2550	1679	21038	9563
1000000	124	2592	1706	21384	9720
1000000	125	2634	1734	21731	9878
1000000	126	2676	1762	22077	10035
1000000	127	2718	1789	22424	10193
1000000	128	2760	1817	22770	10350
1000000	129	2802	1845	23117	10508
1000000	130	2844	1872	23463	10665
1000000	131	2891	1903	23849	10841
1000000	132	2938	1934	24235	11016
1000000	133	2984	1965	24621	11192
1000000	134	3031	1996	25007	11367
1000000	135	3078	2026	25394	11543
1000000	136	3125	2057	25780	11718
1000000	137	3172	2088	26166	11894
1000000	138	3218	2119	26552	12069
1000000	139	3265	2150	26938	12245
1000000	140	3312	2180	27324	12420
1000000	141	3359	2211	27710	12596
1000000	142	3406	2242	28096	12771
1000000	143	3452	2273	28482	12947
1000000	144	3499	2304	28868	13122
1000000	145	3546	2334	29255	13298
1000000	146	3593	2365	29641	13473
1000000	147	3640	2396	30027	13649
1000000	148	3686	2427	30413	13824
1000000	149	3733	2458	30799	14000
1000000	150	3780	2489	31185	14175
1000000	151	3827	2519	31571	14351
1000000	152	3874	2550	31957	14526
