menuId	goodsId
menuId	物品ID
1	71001
1	71073
1	72001
1	70012
1	70022
1	72005
10	70031
10	70061
10	72002
10	70022
10	72005
10	70068
23	200001
23	200002
23	200003
23	200004
23	200005
23	200006
23	200007
24	200012
24	200013
24	200014
27	72003
27	72005
27	70033
27	70063
27	70013
27	70014
27	70021
27	70022
28	70031
28	70061
28	70001
28	71004
28	70012
28	70041
28	70051
28	72001
29	70002
29	71005
29	70073
29	70032
29	70062
29	70013
29	72002
29	72004
30	71007
30	71005
30	72002
30	70042
30	70052
30	70074
30	70075
30	70076
31	71007
31	71006
31	70042
31	70052
31	72002
31	72004
31	70033
31	70063
32	10101
32	10102
32	10103
32	10104
32	10105
33	30101
33	30201
33	30301
33	30401
33	30501
34	71045
35	71046
36	190201
36	190202
36	190203
36	190204
37	71015
37	70021
37	70022
37	70041
37	70012
38	71015
38	70021
38	70022
38	70041
38	70012
39	71015
39	70021
39	70022
39	70041
39	70012
40	71015
40	70021
40	70022
40	70041
40	70012
41	71015
41	70021
41	70022
41	70041
41	70012
42	71015
42	70021
42	70022
42	70041
42	70012
43	71015
43	70021
43	70022
43	70041
43	70012
44	71015
44	70021
44	70022
44	70041
44	70012
45	71015
45	70021
45	70022
45	70041
45	70012
46	6920407
46	6920412
46	6920413
47	6920523
47	6920526
47	6920527
52	6920523
52	6920526
52	6920527
53	6920523
53	6920526
53	6920527
54	6920523
54	6920526
54	6920527
55	6920523
55	6920526
55	6920527
50	30021
50	30024
56	6300402
56	6300407
56	6301402
56	6301407
56	6302402
56	6302407
