rewardId	exp	bindMoney	silverMoney	goodsId1	goodsNum1	bind1	goodsId2	goodsNum2	bind2	goodsId3	goodsNum3	bind3	goodsId4	goodsNum4	bind4	goodsId5	goodsNum5	bind5	senderName	title	content
奖励ID	经验	绑金	游戏币	奖励物品1	奖励1数量	绑定\n类型	奖励物品2	奖励2数量	绑定\n类型	奖励物品3	奖励3数量	绑定\n类型	奖励物品4	奖励4数量	绑定\n类型	奖励物品5	奖励5数量	绑定\n类型	邮件发件人	邮件标题	邮件内容
3001	148500		25300	200061	1	1													系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3002	132000		22500																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3003	115500		19700																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3004	111400		19000																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3005	107300		18300																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3006	103100		17600																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3007	99000		16900																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3008	94900		16200																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3009	90800		15500																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3010	86600		14800																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3011	82500		14000																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3016	82500		14000																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3021	74300		12600																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，获得安慰奖！\n
3101	148500		25300	200061	1	1													系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3102	132000		22500																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3103	115500		19700																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3104	111400		19000																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3105	107300		18300																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3106	103100		17600																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3107	99000		16900																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3108	94900		16200																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3109	90800		15500																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3110	86600		14800																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3111	82500		14000																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3116	82500		14000																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3121	74300		12600																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，获得安慰奖！\n
3201	148500		25300	200061	1	1													系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3202	132000		22500																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3203	115500		19700																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3204	111400		19000																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3205	107300		18300																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3206	103100		17600																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3207	99000		16900																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3208	94900		16200																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3209	90800		15500																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3210	86600		14800																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3211	82500		14000																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3216	82500		14000																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3221	74300		12600																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，获得安慰奖！\n
3301	148500		25300	200061	1	1													系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3302	132000		22500																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3303	115500		19700																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3304	111400		19000																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3305	107300		18300																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3306	103100		17600																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3307	99000		16900																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3308	94900		16200																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3309	90800		15500																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3310	86600		14800																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3311	82500		14000																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3316	82500		14000																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3321	74300		12600																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，获得安慰奖！\n
3401	148500		25300	200061	1	1													系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3402	132000		22500																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3403	115500		19700																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3404	111400		19000																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3405	107300		18300																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
3406	103100		17600																系统	小红帽奖励	恭喜您在小红帽活动中，造成${hurt}伤害，名列第${index}。\n
