menuId	id	name	timeOpen	startDate	endDate	frequencyType	frequencyValue	enterResetCopyId	conditionIds	consumeType	consumeOriginal	consumeDiscount	consumeGoodIds	consumeGoodCount	gainGoodsId	gainGoodsCount	bindType	broadcast
目录ID	兑换id	兑换名称	是否由日期决定开启	兑换起始日期	兑换结束日期	兑换次数类型	兑换次数值	进入重置的副本ID	条件id(1,2,3)	消耗类型	消耗原价	消耗折扣价	消耗物品id	消耗物品数量	换得物品ids	换得物品数量	绑定类型	兑换喊话，{1}只取consumeGoodIds的第一个物品
1	101	蓝色洗练石	0	2010-10-10	2030-10-10	1	4			4	25	25			71004	1	1	
1	102	初级元神材料	0	2010-10-10	2030-10-10	1	10			4	10	10			70001	1	1	
1	103	地晶	0	2010-10-10	2030-10-10	1	2			4	100	100			71073	1	1	
1	104	幻兽初级进阶材料	0	2010-10-10	2030-10-10	1	2			4	100	100			70031	1	1	
1	105	天晶	0	2010-10-10	2030-10-10	1	2		1	4	100	100			71001	1	1	
1	106	幻兽初级元神激活	0	2010-10-10	2030-10-10	1	1		1	4	200	200			70012	1	1	
1	107	坐骑初级进阶材料	0	2010-10-10	2030-10-10	1	2		1	4	100	100			70061	1	1	
1	108	5000真气丹	0	2010-10-10	2030-10-10	1	1		1	4	200	200			20003	1	1	
1	109	普通神兽悟性丹	0	2010-10-10	2030-10-10	1	2		2	4	100	100			70041	1	1	
1	110	藏宝图	0	2010-10-10	2030-10-10	1	2		2	4	150	150			9231	1	1	
1	111	低级强化石	0	2010-10-10	2030-10-10	1	2		2	4	100	100			72001	1	1	
1	112	渡劫道具	0	2010-10-10	2030-10-10	1	1		2	4	200	200			70022	1	1	
1	113	普通坐骑悟性丹	0	2010-10-10	2030-10-10	1	2		3	4	100	100			70051	1	1	
1	114	保底符	0	2010-10-10	2030-10-10	1	1		3	4	100	100			72004	1	1	
1	115	百年玄铁	0	2010-10-10	2030-10-10	1	1		3	4	200	200			71002	1	1	
1	116	1格背包	0	2010-10-10	2030-10-10	1	3		3	4	200	200			88888	1	1	
1	117	千年玄铁	0	2010-10-10	2030-10-10	1	1		4	4	200	200			71003	1	1	
1	118	中级激活秘药	0	2010-10-10	2030-10-10	1	1		4	4	200	200			70013	1	1	
1	119	洗炼锁	0	2010-10-10	2030-10-10	1	2		4	4	100	100			71007	1	1	
1	120	vip一天体验卡	0	2010-10-10	2030-10-10	1	1		4	4	500	500			2100001	1	1	
10	1001	蓝色洗练石	0	2010-10-10	2030-10-10	0							71037	1	71004	4	1	
10	1002	初级强化石	0	2010-10-10	2030-10-10	0							71037	1	72001	1	1	
10	1003	洗炼锁	0	2010-10-10	2030-10-10	0							71037	1	71007	1	1	
10	1004	初级神兽进化丹	0	2010-10-10	2030-10-10	0							71037	1	70031	1	1	
10	1005	初级坐骑进化丹	0	2010-10-10	2030-10-10	0							71037	1	70061	1	1	
10	1006	紫色洗练石	0	2010-10-10	2030-10-10	0							71038	1	71005	2	1	
10	1007	中级强化石	0	2010-10-10	2030-10-10	0							71038	1	72002	1	1	
